id1,id2
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
7,11
7,12
7,13
7,14
7,15
7,16
7,17
8,11
8,12
8,13
8,14
8,15
8,16
8,17
9,11
9,12
9,13
9,14
9,15
9,16
9,17
10,11
10,12
10,13
10,14
10,15
10,16
10,17
11,18
11,19
11,20
11,21
11,22
11,23
12,18
12,19
12,20
12,21
12,22
12,23
13,18
13,19
13,20
13,21
13,22
13,23
14,18
14,19
14,20
14,21
14,22
14,23
15,18
15,19
15,20
15,21
15,22
15,23
16,24
16,25
16,26
16,27
16,28
17,24
17,25
17,26
17,27
17,28
18,24
18,25
18,26
18,27
18,28
19,24
19,25
19,26
19,27
19,28
20,24
20,25
20,26
20,27
20,28




