# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
leukocyte activation	1	0	0	2.222076	4287	0.1579587	6	6.866439726666666e-31	1.357805	644	866	0.06339207	
cell activation	1	0	0	2.104367	4849	0.1786662	7	4.165922789285715e-30	1.327245	732	1007	0.07205434	
immune response	1	0	0	2.091937	5738	0.2114223	14	5.3634144496428575e-25	1.243904	1011	1484	0.09951767	
cell activation involved in immune response	1	0	0	2.507758	2955	0.1088799	19	1.1527092644736841e-22	1.367895	454	606	0.04468944	
myeloid leukocyte activation	1	0	0	2.606066	2770	0.1020634	20	1.12286364575e-22	1.382443	424	560	0.04173639	
leukocyte activation involved in immune response	1	0	0	2.535622	2939	0.1082903	22	1.4499168025e-22	1.367885	451	602	0.04439413	
myeloid cell activation involved in immune response	1	0	0	2.648151	2424	0.08931466	27	5.442244214814815e-22	1.394561	388	508	0.03819274	
neutrophil activation	1	0	0	2.638315	2306	0.08496684	29	1.1733852520689656e-21	1.399334	374	488	0.03681465	
leukocyte degranulation	1	0	0	2.638368	2352	0.08666175	30	2.0543365296666665e-21	1.393233	380	498	0.03740526	
granulocyte activation	1	0	0	2.639709	2309	0.08507738	32	2.8687836959375003e-21	1.394503	375	491	0.03691308	
neutrophil activation involved in immune response	1	0	0	2.629621	2230	0.08216654	33	5.99504015e-21	1.396029	367	480	0.0361256	
myeloid leukocyte mediated immunity	1	0	0	2.614155	2391	0.08809875	34	1.1507515751470588e-20	1.381932	386	510	0.03799587	
neutrophil degranulation	1	0	0	2.613152	2197	0.08095063	35	1.127844380142857e-20	1.39423	365	478	0.03592873	
immune effector process	1	0	0	2.289476	3917	0.1443257	36	1.1881710729166667e-20	1.286822	635	901	0.06250615	
neutrophil mediated immunity	1	0	0	2.595336	2244	0.08268239	40	1.1877996171249998e-19	1.379628	371	491	0.03651934	
leukocyte mediated immunity	1	0	0	2.385301	2690	0.0991157	48	1.0723767679166666e-18	1.330869	449	616	0.04419726	
regulated exocytosis	35	8.134031e-302	3.0549096427142853e-299	2.093814	2962	0.1091378	60	2.3680257425000002e-17	1.303043	486	681	0.04783935	
exocytosis	36	1.746515e-298	6.377205465277778e-296	2.016932	3190	0.1175387	70	2.8823060278571427e-16	1.27715	533	762	0.05246579	
regulation of cytokine production	42	9.176081e-261	2.8718948748809525e-258	2.010515	2832	0.1043478	89	3.000675613483146e-14	1.291689	428	605	0.04213013	
positive regulation of immune response	45	2.176879e-257	6.358905434444444e-255	2.072501	2608	0.09609433	115	3.590368147826087e-12	1.272856	412	591	0.04055517	
