Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)	Percentage	TotalPeaks
3UTR	487	26715498	1.027	-103.203	1.79439941046426	27140
miRNA	1	96670	0.21	-0.547	0.003684598378777	
ncRNA	107	6947230	0.784	-15.745	0.394252026529108	
TTS	529	32107293	0.881	-85.723	1.94915254237288	
pseudo	29	2064019	0.652	-4.273	0.106853352984525	
Exon	624	36899334	0.919	-108.516	2.29918938835667	
Intron	16764	1254387279	0.579	-2295.269	61.7686072218128	
Intergenic	8035	1637109068	-0.866	3290.716	29.6057479734709	
Promoter	521	35635393	0.709	-57.639	1.91967575534267	
5UTR	43	2576619	0.9	-8.957	0.158437730287399	
snoRNA	0	357	-0.005	0.003	0	
scRNA	0	97	-0.001	0.001	0	
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)	Percentage	TotalPeaks
3UTR	487	26715498	1.028	-103.332	1.79439941046426	27140
Other	0	3919035	-5.173	35.055	0	
Unknown?	0	18008	-0.215	0.161	0	
RNA	0	114130	-1.015	1.02	0	
miRNA	1	96670	0.211	-0.547	0.003684598378777	
ncRNA	107	6947230	0.785	-15.769	0.394252026529108	
TTS	529	32107293	0.882	-85.849	1.94915254237288	
LINE	3035	616300462	-0.86	805.288	11.1827560795873	
LINE?	0	10448	-0.129	0.093	0	
srpRNA	2	252243	-0.173	0.498	0.007369196757553	
SINE	3943	376036546	0.23	-58.011	14.5283714075166	
RC	4	438263	0.03	-0.597	0.014738393515107	
tRNA	0	90899	-0.858	0.813	0	
DNA?	2	264296	-0.24	0.546	0.007369196757553	
pseudo	29	2064019	0.652	-4.279	0.106853352984525	
DNA	902	95199043	0.084	-3.213	3.3235077376566	
Exon	624	36899334	0.92	-108.668	2.29918938835667	
Intron	10454	661920644	0.821	-1941.426	38.5187914517318	
Intergenic	4323	822807060	-0.767	960.321	15.9285187914517	
Promoter	521	35635393	0.71	-57.744	1.91967575534267	
5UTR	43	2576619	0.901	-8.968	0.158437730287399	
snoRNA	0	357	-0.005	0.003	0	
LTR?	1	21148	2.403	-1.759	0.003684598378777	
scRNA	1	115158	-0.042	0.322	0.003684598378777	
CpG-Island	24	8512528	-1.665	26.592	0.088430361090641	
Low_complexity	84	15184011	-0.692	13.673	0.309506263817244	
LTR	1853	254661502	-0.297	48.712	6.82756079587325	
Simple_repeat	150	24318496	-0.535	14.1	0.552689756816507	
snRNA	3	310528	0.112	-0.645	0.01105379513633	
Unknown	15	1241429	0.435	-1.877	0.055268975681651	
SINE?	0	42168	-0.461	0.377	0	
Satellite	2	11108041	-5.634	90.948	0.007369196757553	
rRNA	1	160897	-0.524	0.547	0.003684598378777	
