TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
HUMAN_PWY-6371	superpathway of inositol phosphate compounds	0.000758024441188839	-7.18479492852929	66	41	0.10594315245478	387	907	5728,9562,5298,3707,64419,5294,200576,23533,113026,8871,5336,5333,9807,8867,51259,146850,5295,22908,5296,5297,5291,89869,5286,51447,3705,8396,5305,8897,64768,3633,5293,8503,55361,9896,3632,90809,55529,5289,5330,3635,5335	PTEN,MINPP1,PI4KB,ITPKB,MTMR14,PIK3CG,PIKFYVE,PIK3R5,PLCD3,SYNJ2,PLCG2,PLCD1,IP6K1,SYNJ1,TMEM216,PIK3R6,PIK3R1,SACM1L,PIK3R2,PI4KA,PIK3CB,PLCZ1,PIK3C2A,IP6K2,ITPK1,PIP4K2B,PIP4K2A,MTMR3,IPPK,INPP5B,PIK3CD,PIK3R3,PI4K2A,FIG4,INPP5A,PIP4P1,PIP4P2,PIK3C3,PLCB2,INPP5D,PLCG1
META_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.00592859574147311	-5.12796789983784	9	8	0.020671834625323	387	907	5336,5333,90809,55529,64419,5305,5330,8897	PLCG2,PLCD1,PIP4P1,PIP4P2,MTMR14,PIP4K2A,PLCB2,MTMR3
HUMAN_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.0180416693563341	-4.01507123224673	17	12	0.0310077519379845	387	907	113026,51259,89869,5333,5336,64419,55529,90809,5335,8897,5330,5305	PLCD3,TMEM216,PLCZ1,PLCD1,PLCG2,MTMR14,PIP4P2,PIP4P1,PLCG1,MTMR3,PLCB2,PIP4K2A
META_PWY-6368	3-phosphoinositide degradation	0.0201000916548754	-3.90703090398345	19	13	0.0335917312661499	387	907	8867,8871,22876,5728,8821,8897,3631,3635,3633,22908,55529,64419,90809	SYNJ1,SYNJ2,INPP5F,PTEN,INPP4B,MTMR3,INPP4A,INPP5D,INPP5B,SACM1L,PIP4P2,MTMR14,PIP4P1
META_PWY-6352	3-phosphoinositide biosynthesis	0.0242842649814766	-3.71792667000126	25	16	0.041343669250646	387	907	5297,5289,22908,5296,5295,55361,9896,146850,5293,23533,8503,200576,5294,5286,5298,5291	PI4KA,PIK3C3,SACM1L,PIK3R2,PIK3R1,PI4K2A,FIG4,PIK3R6,PIK3CD,PIK3R5,PIK3R3,PIKFYVE,PIK3CG,PIK3C2A,PI4KB,PIK3CB
HUMAN_PWY-6352	3-phosphoinositide biosynthesis	0.0251470377835485	-3.68301517133949	27	17	0.0439276485788114	387	907	8503,23533,5293,146850,9896,55361,5295,5296,22908,5289,5297,5291,5298,5286,5294,8396,200576	PIK3R3,PIK3R5,PIK3CD,PIK3R6,FIG4,PI4K2A,PIK3R1,PIK3R2,SACM1L,PIK3C3,PI4KA,PIK3CB,PI4KB,PIK3C2A,PIK3CG,PIP4K2B,PIKFYVE
HUMAN_PWY-6569	chondroitin sulfate biosynthesis	0.0309973048973499	-3.47385501707155	16	11	0.0284237726098191	387	907	50515,10090,51363,55790,135152,166012,55454,9435,26229,64131,56548	CHST11,UST,CHST15,CSGALNACT1,B3GAT2,CHST13,CSGALNACT2,CHST2,B3GAT3,XYLT1,CHST7
HUMAN_PWY-5874	heme degradation	0.0328501781516407	-3.41579811088081	4	4	0.0103359173126615	387	907	3162,644,3163,645	HMOX1,BLVRA,HMOX2,BLVRB
HUMAN_PWY-6368	3-phosphoinositide degradation	0.0355164114774238	-3.33776039418754	20	13	0.0335917312661499	387	907	3635,3633,8897,8821,3631,22908,64419,55529,90809,8867,5728,22876,8871	INPP5D,INPP5B,MTMR3,INPP4B,INPP4A,SACM1L,MTMR14,PIP4P2,PIP4P1,SYNJ1,PTEN,INPP5F,SYNJ2
HUMAN_PWY-6309	L-kynurenine degradation	0.043013762698406	-3.1462351517441	11	8	0.020671834625323	387	907	169355,8942,883,125061,56267,23498,8564,2806	IDO2,KYNU,KYAT1,AFMID,KYAT3,HAAO,KMO,GOT2
HUMAN_PWY-7209	pyrimidine ribonucleosides degradation	0.0540951534410736	-2.91701068233542	6	5	0.0129198966408269	387	907	978,51733,7378,1806,151531	CDA,UPB1,UPP1,DPYD,UPP2
HUMAN_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.0675747937525753	-2.69452023895044	8	6	0.0155038759689922	387	907	50515,166012,56548,51363,10090,9435	CHST11,CHST13,CHST7,CHST15,UST,CHST2
META_PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases	0.0675747937525753	-2.69452023895044	8	6	0.0155038759689922	387	907	4247,4245,4124,4122,11320,4249	MGAT2,MGAT1,MAN2A1,MAN2A2,MGAT4A,MGAT5
HUMAN_PWY-7049	icosapentaenoate biosynthesis II (metazoa)	0.0762190339541268	-2.57414405805748	10	7	0.0180878552971576	387	907	9415,54988,2180,60481,2181,116285,51703	FADS2,ACSM5,ACSL1,ELOVL5,ACSL3,ACSM1,ACSL5
HUMAN_HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I	0.0773347943986957	-2.55961130307583	3	3	0.00775193798449612	387	907	1371,2235,5498	CPOX,FECH,PPOX
HUMAN_PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	0.0773347943986957	-2.55961130307583	3	3	0.00775193798449612	387	907	1738,4967,1743	DLD,OGDH,DLST
META_PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	0.0773347943986957	-2.55961130307583	3	3	0.00775193798449612	387	907	9415,2180,60481	FADS2,ACSL1,ELOVL5
META_HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	0.0773347943986957	-2.55961130307583	3	3	0.00775193798449612	387	907	2235,1371,5498	FECH,CPOX,PPOX
