TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr12q24.31	human chr12q24.31	7.20645084520654e-10	-21.0508743543196	148	50	0.00587337013978621	8513	61273	8638,8655,102466204,144347,338442,102465665,3242,6249,100506691,56616,9612,23457,283460,283385,84678,91574,51329,121665,22877,11066,8562,105500240,64897,9761,35,949,8843,80212,23067,51367,100847004,79720,10645,196383,100507066,100507091,254050,54509,5027,84876,9921,79676,196385,338799,57605,5025,102466877,100616329,55596,51433	OASL,DYNLL1,MIR6880,RFLNA,HCAR2,MIR7107,HPD,CLIP1,LOC100506691,DIABLO,NCOR2,ABCB9,HNF1A-AS1,MORN3,KDM2B,C12orf65,ARL6IP4,SPPL3,MLXIP,SNRNP35,DENR,XLOC_009911,C12orf43,MLEC,ACADS,SCARB1,HCAR3,CCDC92,SETD1B,POP5,MIR5188,VPS37B,CAMKK2,RILPL2,CLIP1-AS1,PITPNM2-AS1,LRRC43,RHOF,P2RX7,ORAI1,RNF10,OGFOD2,DNAH10,LINC01089,PITPNM2,P2RX4,MIR8072,MIR4700,ZCCHC8,ANAPC5
human chr19p13.11	human chr19p13.11	2.95906480272664e-09	-19.6383925635564	149	49	0.00575590273699049	8513	61273	23383,376497,58513,93323,79939,4650,9441,9454,83983,25804,7311,109623483,51477,79041,3718,55049,3594,126364,26780,27106,100422943,126549,80714,693225,57130,79086,25796,23309,23149,55201,27151,84941,80726,8178,9518,5976,170463,8907,10437,10365,4218,51291,5296,55850,117286,199786,79709,54815,9170	MAU2,SLC27A1,EPS15L1,HAUS8,SLC35E1,MYO9B,MED26,HOMER3,TSSK6,LSM4,UBA52,SNORA118,ISYNA1,TMEM38A,JAK3,REX1BD,IL12RB1,LRRC25,SNORA68,ARRDC2,MIR3189,ANKLE1,PBX4,MIR640,ATP13A1,SMIM7,PGLS,SIN3B,FCHO1,MAP1S,CPAMD8,HSH2D,IQCN,ELL,GDF15,UPF1,SSBP4,AP1M1,IFI30,KLF2,RAB8A,GMIP,PIK3R2,USE1,CIB3,NIBAN3,COLGALT1,GATAD2A,LPAR2
human chr3p21.31	human chr3p21.31	3.46464123884879e-08	-17.1780716552428	237	65	0.00763538118172207	8513	61273	1234,820,7384,788,9807,729230,79443,25930,10663,29072,100616407,109617025,11186,7123,100422952,22908,90226,646450,101928931,51447,64866,100885795,10869,387,11068,644714,2829,285231,109623484,3615,10293,9254,29925,5576,5745,102724297,1230,2779,51246,51304,2876,7375,275,9034,8994,6988,151903,1232,100506637,102465494,1605,10181,375341,6599,51161,100129354,51372,23276,2771,11277,7318,8372,100313840,23218,84276	CCR5,CAMP,UQCRC1,SLC25A20,IP6K1,CCR2,FYCO1,PTPN23,CXCR6,SETD2,MIR4443,SNORD13J,RASSF1,CLEC3B,MIR4271,SACM1L,UCN2,ARIH2OS,SEMA3B-AS1,IP6K2,CDCP1,LARS2-AS1,USP19,RHOA,CYB561D2,LIMD1-AS1,XCR1,FBXW12,SNORD146,IMPDH2,TRAIP,CACNA2D2,GMPPB,PRKAR2A,PTH1R,LOC102724297,CCR1,GNAT1,SHISA5,ZDHHC3,GPX1,USP4,AMT,CCRL2,LIMD1,TCTA,CCDC12,CCR3,PRKAR2A-AS1,MIR6823,DAG1,RBM5,C3orf62,SMARCC1,C3orf18,NRADDP,TMA7,KLHL18,GNAI2,TREX1,UBA7,HYAL3,MIR2115,NBEAL2,NICN1
human chr11q12.2	human chr11q12.2	9.40545321075852e-08	-16.179391094082	67	27	0.00317161987548455	8513	61273	931,245802,923,745,64231,58475,51259,5222,27339,643834,51296,643847,11251,79080,79869,643680,79073,51524,747,55048,220002,54860,51338,84689,9415,921,54972	MS4A1,MS4A6E,CD6,MYRF,MS4A6A,MS4A7,TMEM216,PGA5,PRPF19,PGA3,SLC15A3,PGA4,PTGDR2,CCDC86,CPSF7,MS4A4E,TMEM109,TMEM138,DAGLA,VPS37C,CYB561A3,MS4A12,MS4A4A,MS4A14,FADS2,CD5,TMEM132A
human chr1p36.11	human chr1p36.11	3.4419163541907e-07	-14.8820672549777	137	42	0.00493363091742042	8513	61273	2827,25949,64793,10726,26119,2134,6135,54707,10163,100302190,3151,55629,55650,100506985,8289,57035,83442,91544,2582,84243,6548,163702,57185,149420,6924,101928728,57134,2517,388610,57095,11123,1269,23585,23038,57190,100616365,6195,25932,1043,84065,864,5051	GPR3,SYF2,CEP85,NUDC,LDLRAP1,EXTL1,RPL11,GPN2,WASF2,MIR1976,HMGN2,PNRC2,PIGV,NCMAP-DT,ARID1A,RSRP1,SH3BGRL3,UBXN11,GALE,ZDHHC18,SLC9A1,IFNLR1,NIPAL3,PDIK1L,ELOA,LOC101928728,MAN1C1,FUCA1,TRNP1,PITHD1,RCAN3,CNR2,TMEM50A,WDTC1,SELENON,MIR4425,RPS6KA1,CLIC4,CD52,TMEM222,RUNX3,PAFAH2
human chr4p14	human chr4p14	7.80015763523274e-07	-14.0639517078218	86	30	0.00352402208387173	8513	61273	55584,399,92689,101060498,439933,105374411,79730,79667,80008,23244,100313806,401124,23216,10333,116984,81793,51274,105374410,54502,344967,55276,3093,100616274,5981,101928776,7096,55286,6133,768211,10744	CHRNA9,RHOH,FAM114A1,LINC02265,LOC439933,LINC02278,NSUN7,KLF3-AS1,TMEM156,PDS5A,MIR1255B1,DTHD1,TBC1D1,TLR6,ARAP2,TLR10,KLF3,LINC02513,RBM47,LOC344967,PGM2,UBE2K,MIR4802,RFC1,LINC01258,TLR1,C4orf19,RPL9,RELL1,PTTG2
human chr15q21.2	human chr15q21.2	3.23277970188038e-06	-12.6421682020065	61	23	0.00270175026430166	8513	61273	3067,2252,9101,109729174,5597,23431,10776,112543478,84888,1588,54822,100616369,23312,79895,373509,100302202,100616396,4644,256586,56986,29766,55930,10017	HDC,FGF7,USP8,MIR4713HG,MAPK6,AP4E1,ARPP19,MAPK6-DT,SPPL2A,CYP19A1,TRPM7,MIR4713,DMXL2,ATP8B4,USP50,MIR1266,MIR4712,MYO5A,LYSMD2,DTWD1,TMOD3,MYO5C,BCL2L10
human chr12q24.11	human chr12q24.11	6.10972188132723e-06	-12.0056293044212	63	23	0.00270175026430166	8513	61273	160760,51228,84329,693204,5501,23603,83892,400073,51699,6404,1610,32,100616454,84983,51434,84260,54434,9815,79600,488,59341,100616240,88455	PPTC7,GLTP,HVCN1,MIR619,PPP1CC,CORO1C,KCTD10,C12orf76,VPS29,SELPLG,DAO,ACACB,MIR4497,FAM222A-AS1,ANAPC7,TCHP,SSH1,GIT2,TCTN1,ATP2A2,TRPV4,MIR4496,ANKRD13A
human chr3p21.1	human chr3p21.1	9.82887151210527e-06	-11.5301864307915	52	20	0.00234934805591448	8513	61273	23166,776,25981,11188,440957,7086,28972,26354,51460,3697,6787,55802,100526772,55349,5580,102465866,8314,375346,91869,55193	STAB1,CACNA1D,DNAH1,NISCH,SMIM4,TKT,SPCS1,GNL3,SFMBT1,ITIH1,NEK4,DCP1A,STIMATE-MUSTN1,CHDH,PRKCD,MIR8064,BAP1,STIMATE,RFT1,PBRM1
human chr22q13.1	human chr22q13.1	1.8344403716765e-05	-10.9061860045411	113	33	0.0038764242922589	8513	61273	5155,9929,468,10454,9567,79159,5880,200315,27128,102724378,101927257,116938,25777,100506472,6753,10126,102800317,106635525,158,27352,6122,3957,8398,23616,200316,150350,23112,101927051,4242,91582,26088,116936,9582	PDGFB,JOSD1,ATF4,TAB1,GTPBP1,NOL12,RAC2,APOBEC3A,CYTH4,LOC102724378,MRTFA-AS1,SNORD83B,SUN2,LOC100506472,SSTR3,DNAL4,TPTEP2-CSNK1E,SNORA92,ADSL,SGSM3,RPL3,LGALS2,PLA2G6,SH3BP1,APOBEC3F,ENTHD1,TNRC6B,LOC101927051,MFNG,RPS19BP1,GGA1,SNORD139,APOBEC3B
