TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.505.10	-	2.36379707414089e-07	-15.2578263951409	111	68	0.0213032581453634	3192	8546	6772,3717,3055,2241,84941,8503,2242,2268,284948,7409,640,867,3718,7535,1154,6850,63898,10019,10603,3635,6776,25,8412,9610,84174,64759,1124,4067,387694,3716,868,117157,1398,79890,4690,2885,7006,8651,2534,27,7145,10451,8440,6778,6461,6464,6452,5335,5295,10044,29760,1399,7294,5296,6774,695,1445,54453,7410,6777,6503,5336,3937,5777,90525,6714,9021,27071	STAT1,JAK2,HCK,FER,HSH2D,PIK3R3,FES,FGR,SH2D6,VAV1,BLK,CBL,JAK3,ZAP70,CISH,SYK,SH2D4A,SH2B3,SH2B2,INPP5D,STAT5A,ABL1,BCAR3,RIN1,SLA2,TNS3,CHN2,LYN,SH2D4B,JAK1,CBLB,SH2D1B,CRK,RIN3,NCK1,GRB2,TEC,SOCS1,FYN,ABL2,TNS1,VAV3,NCK2,STAT6,SHB,SHC1,SH3BP2,PLCG1,PIK3R1,SH2D3C,BLNK,CRKL,TXK,PIK3R2,STAT3,BTK,CSK,RIN2,VAV2,STAT5B,SLA,PLCG2,LCP2,PTPN6,SHF,SRC,SOCS3,DAPP1
2.30.29.30	-	3.8246162370652e-07	-14.7766375188923	411	202	0.0632832080200501	3192	8546	55561,8853,7006,83478,7145,26030,11033,7204,55041,208,25977,116985,23362,6464,23637,114882,55357,9107,23207,10087,6711,55740,100271927,9844,5170,9910,1796,114879,81846,389072,113026,114885,334,9265,139716,50650,9784,1207,94134,22821,27071,64411,10762,5333,6749,5336,4771,64855,6093,200734,23075,23095,1601,11198,8776,11214,79666,55198,23158,59339,55619,55843,23150,116984,6002,257019,26034,10603,114883,51332,89846,26031,219790,23101,6655,156,157,23550,9459,10307,8976,199786,8650,202151,57476,351,7074,57569,26084,55691,9475,64283,440073,26119,84904,23294,57580,55604,10498,207,29,79674,55802,55671,7408,83706,50619,64333,121512,9454,10451,9922,55616,153090,23527,57655,6641,6452,5341,400224,5335,9046,8660,54869,90102,23228,65059,6654,9267,131583,57679,23096,695,7410,23092,8874,50618,221472,2059,7456,23370,23683,4478,23136,22822,54518,4983,5902,7094,80301,323,10059,23061,50649,80022,55803,10000,6453,201176,79109,7409,221178,63916,23151,11138,25865,29116,5334,9842,9882,9938,10019,56899,8498,23102,2965,5337,7262,83660,23216,23239,7454,2035,55160,54477,9181,26230,51466,9846,27128,5998,55022,5922,79930,79574,2185,58504,2037,5924,64759,139818,8527	CDC42BPG,ASAP2,TEC,ARHGAP24,TNS1,PLEKHG3,ADAP1,TRIO,PLEKHB2,AKT2,NECAP1,ARAP1,PSD3,SHC1,RABGAP1,OSBPL8,TBC1D2,MTMR6,PLEKHM2,CERT1,SPTBN1,ENAH,RASA4B,ELMO1,PDPK1,RABGAP1L,DOK1,OSBPL5,SBF2,PLEKHM3,PLCD3,OSBPL11,APLP2,CYTH3,GAB3,ARHGEF3,SNX17,CLNS1A,ARHGAP12,RASA3,DAPP1,ARAP3,NUP50,PLCD1,SSRP1,PLCG2,NF2,NIBAN2,ROCK1,SPRED2,SWAP70,KIF1B,DAB2,SUPT16H,MTMR1,AKAP13,PLEKHF2,APPL2,TBC1D9,PLEKHA2,DOCK10,ARHGAP15,FRMD4B,ARAP2,RGS12,FRMD3,IPCEF1,SH2B2,OSBPL9,SPTBN5,FGD3,OSBPL3,RTKN2,MCF2L2,SOS2,GRK2,GRK3,PSD4,ARHGEF6,APBB3,WASL,NIBAN3,NUMB,RANBP3L,GRAMD1B,APP,TIAM1,ARHGAP20,ARHGEF26,FRMD4A,ROCK2,ARHGEF28,IQSEC3,LDLRAP1,ARHGEF39,ANKS1A,PREX1,CARMIL1,CARM1,AKT1,ABR,VEPH1,DCP1A,PPP4R3A,VASP,FERMT3,DEF6,ARHGAP9,FGD4,HOMER3,VAV3,IQSEC1,ASAP3,DAB2IP,ACAP2,GRAMD1A,SNTB1,SH3BP2,PLEK,PLEKHD1,PLCG1,DOK2,IRS2,EPS8L1,PHLDB2,PLCL2,RAPH1,SOS1,CYTH1,FAM43A,ALS2,IQSEC2,BTK,VAV2,ARHGAP26,ARHGEF7,ITSN2,FGD2,EPS8,WIPF1,ARHGEF18,PRKD3,MSN,EPB41L3,PHLDA1,APBB1IP,OPHN1,RANBP1,TLN1,PLEKHO2,APBB2,DNM1L,TBC1D9B,ARHGEF4,MYO15B,ADAP2,AKT3,ITSN1,ARHGAP27,MAPKAP1,VAV1,SPATA13,ELMO2,GRAMD4,TBC1D8,PRKD2,MYLIP,PLCL1,PLEKHM1,TBC1D4,ARHGAP25,SH2B3,ANKS1B,RANBP3,TBC1D2B,GTF2H1,PLD1,PHLDA2,TLN2,TBC1D1,PHLPP1,WAS,EPB41,ARHGEF10L,PLEKHA5,ARHGEF2,TIAM2,EVL,GAB2,CYTH4,RGS3,PID1,RASA2,DOK3,EPS8L3,PTK2B,ARHGAP22,EPB41L2,RASGRF2,TNS3,DOCK11,DGKD
1.10.418.10	-	4.77691516248655e-05	-9.94913049030006	81	48	0.0150375939849624	3192	8546	6711,128239,79789,10634,8826,667,5358,23499,51332,4034,23143,87,254102,23384,64098,286464,85458,2317,22998,23345,10451,7409,10982,219537,64780,2316,6876,7402,84376,22919,10788,84859,89795,55704,5339,29780,3936,92521,9645,7410,8874,81,157922,79925,440193,9459,1264,8407	SPTBN1,IQGAP3,CLMN,GAS2L1,IQGAP1,DST,PLS3,MACF1,SPTBN5,LRCH4,LRCH1,ACTN1,EHBP1L1,SPECC1L,PARVG,CFAP47,DIXDC1,FLNB,LIMCH1,SYNE1,VAV3,VAV1,MAPRE2,SMTNL1,MICAL1,FLNA,TAGLN,UTRN,HOOK3,MAPRE1,IQGAP2,LRCH3,NAV3,CCDC88A,PLEC,PARVB,LCP1,SPECC1,MICAL2,VAV2,ARHGEF7,ACTN4,CAMSAP1,SPEF2,CCDC88C,ARHGEF6,CNN1,TAGLN2
1.25.40.90	-	0.00011336479732741	-9.08489964407529	27	20	0.006265664160401	3192	8546	150350,22828,29924,23350,3092,9146,23062,58490,10043,146691,10254,26088,55197,23248,8301,9685,57466,8027,23163,51585	ENTHD1,SCAF8,EPN1,U2SURP,HIP1,HGS,GGA2,RPRD1B,TOM1,TOM1L2,STAM2,GGA1,RPRD1A,RPRD2,PICALM,CLINT1,SCAF4,STAM,GGA3,PCF11
1.10.555.10	-	0.000260984446836536	-8.25104974308179	66	39	0.012218045112782	3192	8546	23526,55114,29127,9938,10928,116984,116985,55843,93663,9411,84986,392,83478,201176,23380,10144,64333,1124,3633,29,64411,58504,4983,94134,57522,4650,5296,57514,51291,57569,23616,5295,90627,23092,9754,117289,257106,393,55789	ARHGAP45,ARHGAP17,RACGAP1,ARHGAP25,RALBP1,ARAP2,ARAP1,ARHGAP15,ARHGAP18,ARHGAP29,ARHGAP19,ARHGAP1,ARHGAP24,ARHGAP27,SRGAP2,FAM13A,ARHGAP9,CHN2,INPP5B,ABR,ARAP3,ARHGAP22,OPHN1,ARHGAP12,SRGAP1,MYO9B,PIK3R2,ARHGAP31,GMIP,ARHGAP20,SH3BP1,PIK3R1,STARD13,ARHGAP26,STARD8,TAGAP,ARHGAP30,ARHGAP4,DEPDC1B
1.20.1270.60	-	0.000541722782948639	-7.52075615794479	72	41	0.0128446115288221	3192	8546	274,6642,9873,23526,55114,58533,6643,9051,51411,130026,23527,9050,8522,51429,55616,55198,9411,2241,23048,112574,2242,8853,6455,3382,23268,9788,23149,27236,10458,4983,51100,57522,115548,29886,11252,51291,23616,23092,273,393,401548	BIN1,SNX1,FCHSD2,ARHGAP45,ARHGAP17,SNX6,SNX2,PSTPIP1,BIN2,ICA1L,ACAP2,PSTPIP2,GAS7,SNX9,ASAP3,APPL2,ARHGAP29,FER,FNBP1,SNX18,FES,ASAP2,SH3GL1,ICA1,DNMBP,MTSS1,FCHO1,ARFIP1,BAIAP2,OPHN1,SH3GLB1,SRGAP1,FCHO2,SNX8,PACSIN2,GMIP,SH3BP1,ARHGAP26,AMPH,ARHGAP4,SNX30
3.40.50.10140	-	0.000958967002561961	-6.94965389184595	26	18	0.0056390977443609	3192	8546	7096,7100,54106,10333,114609,7097,3554,7099,51311,148022,55024,3556,118788,353376,8808,8807,4615,81793	TLR1,TLR5,TLR9,TLR6,TIRAP,TLR2,IL1R1,TLR4,TLR8,TICAM1,BANK1,IL1RAP,PIK3AP1,TICAM2,IL1RL2,IL18RAP,MYD88,TLR10
3.30.1520.10	-	0.00145105494157542	-6.5354644411688	51	30	0.0093984962406015	3192	8546	26750,23161,112574,401548,653361,90203,4689,29887,57231,29916,51429,29886,58533,64089,92017,8724,9644,54899,285590,55614,5286,9784,6643,6642,124460,54877,5337,81609,23678,11188	RPS6KC1,SNX13,SNX18,SNX30,NCF1,SNX21,NCF4,SNX10,SNX14,SNX11,SNX9,SNX8,SNX6,SNX16,SNX29,SNX3,SH3PXD2A,PXK,SH3PXD2B,KIF16B,PIK3C2A,SNX17,SNX2,SNX1,SNX20,ZCCHC2,PLD1,SNX27,SGK3,NISCH
1.20.120.550	-	0.00270720020854975	-5.91184031151715	6	6	0.0018796992481203	3192	8546	4056,4259,241,4258,4257,9536	LTC4S,MGST3,ALOX5AP,MGST2,MGST1,PTGES
2.60.210.10	-	0.00506472227328473	-5.28545597530514	15	11	0.00344611528822055	3192	8546	7189,6478,283514,4224,4591,7187,8405,6477,339745,7185,7874	TRAF6,SIAH2,SIAH3,MEP1A,TRIM37,TRAF3,SPOP,SIAH1,SPOPL,TRAF1,USP7
