TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011009	Kinase-like_dom_sf	2.8198395148183e-12	-26.5943411422368	523	252	0.0399873056172644	6302	18701	55589,9641,1859,156,11183,7006,54986,57538,8536,6794,9344,4215,817,2011,5293,5286,6446,2047,5583,2268,375449,2932,1198,6714,640,7297,695,51347,92,55351,545,699,983,140609,28951,54822,85442,283106,157285,3656,23097,5289,57551,80216,5585,2242,8844,3000,91754,10645,6195,51776,27347,5588,369,9448,5606,57396,124997,5582,150094,3716,115701,5058,1445,2870,9475,91461,9748,8986,2986,5291,5579,57118,728642,5297,6790,6093,10114,6732,3551,5604,9175,5568,26750,6793,6041,22848,85481,23678,238,79705,7294,2931,51701,5292,79834,51231,11329,91,1453,56924,558,23012,102800317,83931,2241,1436,57761,5294,83983,207,4214,5613,7048,9262,112858,5603,5567,4140,26524,8428,6850,5347,6885,27,25,9263,7535,92335,149420,5581,57787,4296,90956,5170,5590,5159,1195,23043,146057,5979,2580,1025,9833,6196,157,65125,55781,8621,23387,10000,4216,10783,4593,7204,2321,5597,5607,1452,11213,84254,340156,5298,11011,415116,8737,9706,8767,55561,5580,11040,23139,6789,9113,3985,29959,658,204851,25778,2041,2185,55500,1612,84197,8569,7273,29110,7444,5595,122011,28996,818,7867,472,3717,10221,54899,9252,5594,53944,9020,7443,2081,56997,7465,202374,5261,6733,3643,3055,5591,5218,1455,83903,1021,140901,81788,4067,8780,11035,120892,8899,208,3718,5127,6197,8408,1326,23049,5894,1432,50488,23683,5128,9874,10188,90,23604,7046,6787,197259,1263,2534,5608,4638,9943,8317,25865,2049,54861,5062	BMP2K,IKBKE,DYRK1A,GRK2,MAP4K5,TEC,ULK4,ALPK3,CAMK1,STK11,TAOK2,MAP3K3,CAMK2D,MARK2,PIK3CD,PIK3C2A,SGK1,EPHB1,PRKCH,FGR,MAST4,GSK3B,CLK3,SRC,BLK,TYK2,BTK,TAOK3,ACVR2A,STK32B,ATR,BUB1,CDK1,NEK7,TRIB2,TRPM7,KNDC1,CSNK2A3,PRAG1,IRAK2,CDK19,PIK3C3,TAOK1,ALPK1,PKN1,FES,KSR1,GUCY2D,NEK9,CAMKK2,RPS6KA1,MAP3K20,STK39,PRKCQ,ARAF,MAP4K4,MAP2K3,CLK4,WDR81,PRKCG,SIK1,JAK1,ALPK2,PAK1,CSK,GRK6,ROCK2,PKDCC,SLK,RPS6KA4,GUCY2F,PIK3CB,PRKCB,CAMK1D,CDK11A,PI4KA,AURKA,ROCK1,HIPK3,SRPK1,IKBKB,MAP2K1,MAP3K13,PRKACG,RPS6KC1,STK10,RNASEL,AAK1,PSKH2,SGK3,ALK,LRRK1,TXK,GSK3A,NLK,PIM1,PEAK1,VRK3,STK38,ACVR1B,CSNK1D,PAK6,AXL,STK38L,TPTEP2-CSNK1E,STK40,FER,CSF1R,TRIB3,PIK3CG,TSSK6,AKT1,MAP3K1,PRKX,TGFBR2,STK17B,TP53RK,MAPK13,PRKACB,MARK3,LATS2,STK24,SYK,PLK1,MAP3K7,ABL2,ABL1,STK17A,ZAP70,STRADA,PDIK1L,PRKCE,MARK4,MAP3K11,ADCK2,PDPK1,PRKCZ,PDGFRB,CLK1,TNIK,TTBK2,RET,GAK,CDK9,MELK,RPS6KA2,GRK3,WNK1,RIOK2,CDK13,SIK3,AKT3,MAP3K4,NEK6,MUSK,TRIO,FLT1,MAPK6,MAP2K5,CSNK1A1,IRAK3,CAMKK1,MYLK4,PI4KB,TLK2,PIM3,RIPK1,ULK2,RIPK2,CDC42BPG,PRKCD,PIM2,MAST2,STK4,LATS1,LIMK2,NRBP1,BMPR1B,HIPK1,DSTYK,EPHA1,PTK2B,ETNK1,DAPK1,POMK,MKNK1,TTN,TBK1,VRK2,MAPK3,CSNK1A1L,HIPK2,CAMK2G,MAPKAPK3,ATM,JAK2,TRIB1,PXK,RPS6KA5,MAPK1,CSNK1G1,MAP3K14,VRK1,ERN1,COQ8A,WEE1,STK32A,PHKG2,SRPK2,INSR,HCK,PRKDC,CDK14,CSNK1G2,HASPIN,CDK6,STK35,NUAK2,LYN,RIOK3,RIPK3,LRRK2,PRPF4B,AKT2,JAK3,CDK16,RPS6KA3,ULK1,MAP3K8,SMG1,RAF1,MAPK14,MINK1,PRKD3,CDK17,TLK1,TNK2,ACVR1,DAPK2,TGFBR1,NEK4,MLKL,PLK3,FYN,MAP2K6,MYLK,OXSR1,CDC7,PRKD2,EPHB3,SNRK,PAK2
IPR008271	Ser/Thr_kinase_AS	2.39029247053841e-11	-24.4570202918678	308	160	0.025388765471279	6302	18701	2931,23678,22848,5568,6793,5604,9175,3551,6732,10114,6093,6790,57118,5579,728642,8986,9748,9475,2870,5058,150094,5582,5606,57396,9448,369,26524,5567,4140,4214,7048,9262,5613,207,83983,102800317,83931,23012,91,1453,11329,5292,51701,51347,1198,2932,375449,5583,6446,2011,817,9344,6794,8536,156,1859,55589,5588,51776,6195,10645,91754,8844,5585,57551,23097,283106,140609,699,983,55351,92,1021,1455,5218,6733,7465,202374,5261,2081,7443,9020,53944,5594,9252,7867,818,28996,122011,5595,7444,8569,1612,25778,204851,658,5062,54861,25865,8317,5608,4638,1263,6787,7046,23604,90,9874,5128,23683,50488,5894,1326,8408,6197,5127,208,8899,120892,11035,81788,140901,65125,157,6196,9833,1025,2580,23043,1195,5170,5590,4296,57787,5581,149420,9263,6885,5347,9113,23139,11040,5580,55561,8767,9706,8737,415116,11011,340156,84254,1452,5607,7204,5597,4216,10783,10000,23387,8621	GSK3A,SGK3,AAK1,PRKACG,STK10,MAP2K1,MAP3K13,IKBKB,SRPK1,HIPK3,ROCK1,AURKA,CAMK1D,PRKCB,CDK11A,RPS6KA4,SLK,ROCK2,GRK6,PAK1,SIK1,PRKCG,MAP2K3,CLK4,MAP4K4,ARAF,LATS2,PRKACB,MARK3,MAP3K1,TGFBR2,STK17B,PRKX,AKT1,TSSK6,TPTEP2-CSNK1E,STK40,STK38L,ACVR1B,CSNK1D,STK38,PIM1,NLK,TAOK3,CLK3,GSK3B,MAST4,PRKCH,SGK1,MARK2,CAMK2D,TAOK2,STK11,CAMK1,GRK2,DYRK1A,BMP2K,PRKCQ,MAP3K20,RPS6KA1,CAMKK2,NEK9,KSR1,PKN1,TAOK1,CDK19,CSNK2A3,NEK7,BUB1,CDK1,STK32B,ACVR2A,CDK6,CSNK1G2,CDK14,SRPK2,WEE1,STK32A,PHKG2,ERN1,VRK1,MAP3K14,CSNK1G1,MAPK1,RPS6KA5,MAPKAPK3,CAMK2G,HIPK2,CSNK1A1L,MAPK3,VRK2,MKNK1,DAPK1,DSTYK,HIPK1,BMPR1B,PAK2,SNRK,PRKD2,CDC7,MAP2K6,MYLK,PLK3,NEK4,TGFBR1,DAPK2,ACVR1,TLK1,CDK17,PRKD3,MINK1,RAF1,MAP3K8,ULK1,RPS6KA3,CDK16,AKT2,PRPF4B,LRRK2,RIPK3,NUAK2,STK35,WNK1,GRK3,RPS6KA2,MELK,CDK9,GAK,TNIK,CLK1,PDPK1,PRKCZ,MAP3K11,MARK4,PRKCE,PDIK1L,STK17A,MAP3K7,PLK1,LATS1,MAST2,PIM2,PRKCD,CDC42BPG,RIPK2,ULK2,RIPK1,PIM3,TLK2,MYLK4,CAMKK1,CSNK1A1,MAP2K5,TRIO,MAPK6,MAP3K4,NEK6,AKT3,SIK3,CDK13
IPR011993	PH-like_dom_sf	4.67073908236924e-11	-23.7871187020265	411	202	0.0320533164074897	6302	18701	26119,5337,23095,116984,26030,23550,207,25977,84904,221472,4771,9910,100271927,50618,55041,57580,9046,1796,7145,8776,5336,4478,23362,55160,55803,114879,7074,9459,6093,9842,9181,9265,9475,57679,2965,79674,23061,10087,1601,55022,6464,9922,10603,23527,5333,8853,55604,6711,114882,23101,113026,23228,22821,23294,89846,5341,11214,79930,23637,64333,139818,10451,2059,201176,65059,79666,257019,27128,64759,11198,695,2037,8976,200734,23102,9882,55802,114883,23207,54477,6452,9844,4983,156,83660,83706,6654,29,9267,55616,8660,153090,7006,56899,79109,25865,440073,55198,8650,64411,51332,7262,81846,10762,5902,5998,5924,50619,5922,219790,23683,26084,64855,139716,208,26034,6453,55619,8498,9454,199786,55671,23075,202151,50650,9784,57655,23092,23150,80301,90102,50649,94134,58504,7094,2185,6655,55357,6749,131583,334,54869,26031,400224,55843,9107,7408,23370,10059,80022,27071,79574,5334,7410,55561,10019,57569,7204,6641,5335,8527,9846,23136,51466,23158,11033,7409,7454,7456,54518,10000,57476,55740,157,83478,221178,11138,114885,29116,389072,323,116985,23239,55691,351,59339,8874,23096,5170,64283,23151,121512,1207,23216,22822,6002,10307,63916,10498,2035,9938,26230	LDLRAP1,PLD1,KIF1B,ARAP2,PLEKHG3,PSD4,AKT1,NECAP1,ARHGEF39,FGD2,NF2,RABGAP1L,RASA4B,ITSN2,PLEKHB2,PREX1,DOK2,DOK1,TNS1,MTMR1,PLCG2,MSN,PSD3,ARHGEF10L,ADAP2,OSBPL5,TIAM1,ARHGEF6,ROCK1,PLEKHM1,ARHGEF2,CYTH3,ROCK2,ALS2,GTF2H1,VEPH1,TBC1D9B,CERT1,DAB2,PID1,SHC1,IQSEC1,SH2B2,ACAP2,PLCD1,ASAP2,CARMIL1,SPTBN1,OSBPL8,MCF2L2,PLCD3,PLCL2,RASA3,ANKS1A,FGD3,PLEK,AKAP13,DOK3,RABGAP1,ARHGAP9,DOCK11,VAV3,EPS8,ARHGAP27,RAPH1,PLEKHF2,FRMD3,CYTH4,TNS3,SUPT16H,BTK,EPB41L2,WASL,SPRED2,TBC1D2B,TBC1D4,DCP1A,OSBPL9,PLEKHM2,PLEKHA5,SH3BP2,ELMO1,OPHN1,GRK2,TLN2,FERMT3,SOS1,ABR,CYTH1,ASAP3,IRS2,DAB2IP,TEC,ANKS1B,MAPKAP1,PRKD2,IQSEC3,APPL2,NUMB,ARAP3,SPTBN5,PHLDA2,SBF2,NUP50,RANBP1,RGS3,RASGRF2,DEF6,RASA2,RTKN2,PRKD3,ARHGEF26,NIBAN2,GAB3,AKT2,IPCEF1,ITSN1,DOCK10,RANBP3,HOMER3,NIBAN3,PPP4R3A,SWAP70,RANBP3L,ARHGEF3,SNX17,GRAMD1A,ARHGAP26,FRMD4B,PLEKHO2,PHLDB2,ARHGEF4,ARHGAP12,ARHGAP22,TLN1,PTK2B,SOS2,TBC1D2,SSRP1,FAM43A,APLP2,EPS8L1,OSBPL3,PLEKHD1,ARHGAP15,MTMR6,VASP,ARHGEF18,DNM1L,MYO15B,DAPP1,EPS8L3,PLCL1,VAV2,CDC42BPG,SH2B3,ARHGAP20,TRIO,SNTB1,PLCG1,DGKD,GAB2,EPB41L3,EVL,TBC1D9,ADAP1,VAV1,WAS,WIPF1,APBB1IP,AKT3,GRAMD1B,ENAH,GRK3,ARHGAP24,SPATA13,TBC1D8,OSBPL11,MYLIP,PLEKHM3,APBB2,ARAP1,PHLPP1,FRMD4A,APP,PLEKHA2,ARHGEF7,IQSEC2,PDPK1,ARHGEF28,GRAMD4,FGD4,CLNS1A,TBC1D1,PHLDA1,RGS12,APBB3,ELMO2,CARM1,EPB41,ARHGAP25,TIAM2
IPR000719	Prot_kinase_dom	4.98412962233959e-11	-23.722177234095	480	230	0.0364963503649635	6302	18701	10000,8621,23387,1452,11213,84254,340156,4216,10783,4593,2321,7204,5597,5607,8767,55561,11011,415116,8737,9706,3985,9113,29959,5580,11040,23139,6789,27,6885,25,7535,9263,92335,8428,6850,5347,57787,4296,5170,5590,149420,5581,23043,5979,146057,5159,1195,9833,6196,157,65125,2580,1025,8899,208,3718,140901,81788,11035,4067,120892,50488,23683,5128,10188,90,9874,6197,5127,8408,1326,1432,5894,6787,197259,2534,1263,23604,7046,2049,54861,5062,9943,5608,4638,8317,25865,84197,1612,8569,7273,29110,7444,122011,5595,658,25778,2041,204851,2185,7867,28996,818,7443,9020,53944,2081,3717,9252,10221,54899,5594,5218,1455,83903,1021,5261,202374,7465,6733,3055,3643,983,699,28951,140609,92,55351,57551,283106,157285,3656,23097,3000,91754,5585,2242,8844,5588,27347,10645,6195,51776,54986,7006,8536,6794,55589,156,9641,1859,11183,2011,9344,4215,817,5583,2268,375449,2932,2047,6446,6714,640,7297,51347,695,1198,1453,91,558,23012,56924,51701,5292,79834,51231,11329,1436,57761,83931,102800317,2241,7048,5613,4214,9262,83983,207,5567,5603,4140,26524,112858,5606,57396,5582,369,9448,5058,1445,9475,91461,2870,150094,3716,10114,6732,5604,3551,9175,26750,5568,6793,9748,8986,2986,57118,5579,728642,6093,6790,23678,79705,238,7294,2931,6041,85481,22848	AKT3,CDK13,SIK3,CSNK1A1,IRAK3,CAMKK1,MYLK4,MAP3K4,NEK6,MUSK,FLT1,TRIO,MAPK6,MAP2K5,RIPK2,CDC42BPG,TLK2,PIM3,RIPK1,ULK2,LIMK2,LATS1,NRBP1,PRKCD,PIM2,MAST2,STK4,ABL2,MAP3K7,ABL1,ZAP70,STK17A,STRADA,STK24,SYK,PLK1,MARK4,MAP3K11,PDPK1,PRKCZ,PDIK1L,PRKCE,TNIK,RET,TTBK2,PDGFRB,CLK1,MELK,RPS6KA2,GRK3,WNK1,GAK,CDK9,PRPF4B,AKT2,JAK3,STK35,NUAK2,RIPK3,LYN,LRRK2,MINK1,PRKD3,CDK17,TNK2,ACVR1,TLK1,RPS6KA3,CDK16,ULK1,MAP3K8,MAPK14,RAF1,NEK4,MLKL,FYN,PLK3,DAPK2,TGFBR1,EPHB3,SNRK,PAK2,OXSR1,MAP2K6,MYLK,CDC7,PRKD2,POMK,DAPK1,MKNK1,TTN,TBK1,VRK2,CSNK1A1L,MAPK3,BMPR1B,DSTYK,EPHA1,HIPK1,PTK2B,MAPKAPK3,HIPK2,CAMK2G,VRK1,MAP3K14,CSNK1G1,ERN1,JAK2,RPS6KA5,TRIB1,PXK,MAPK1,CDK14,CSNK1G2,HASPIN,CDK6,PHKG2,STK32A,WEE1,SRPK2,HCK,INSR,CDK1,BUB1,TRIB2,NEK7,ACVR2A,STK32B,TAOK1,CSNK2A3,PRAG1,IRAK2,CDK19,GUCY2D,NEK9,PKN1,FES,KSR1,PRKCQ,STK39,CAMKK2,RPS6KA1,MAP3K20,ULK4,TEC,CAMK1,STK11,BMP2K,GRK2,IKBKE,DYRK1A,MAP4K5,MARK2,TAOK2,MAP3K3,CAMK2D,PRKCH,FGR,MAST4,GSK3B,EPHB1,SGK1,SRC,BLK,TYK2,TAOK3,BTK,CLK3,CSNK1D,ACVR1B,AXL,STK38L,PAK6,NLK,PIM1,PEAK1,VRK3,STK38,CSF1R,TRIB3,STK40,TPTEP2-CSNK1E,FER,TGFBR2,PRKX,MAP3K1,STK17B,TSSK6,AKT1,PRKACB,MAPK13,MARK3,LATS2,TP53RK,MAP2K3,CLK4,PRKCG,ARAF,MAP4K4,PAK1,CSK,ROCK2,PKDCC,GRK6,SIK1,JAK1,HIPK3,SRPK1,MAP2K1,IKBKB,MAP3K13,RPS6KC1,PRKACG,STK10,SLK,RPS6KA4,GUCY2F,CAMK1D,PRKCB,CDK11A,ROCK1,AURKA,SGK3,LRRK1,ALK,TXK,GSK3A,RNASEL,PSKH2,AAK1
IPR017441	Protein_kinase_ATP_BS	4.68219806738463e-10	-21.4820832577544	378	185	0.0293557600761663	6302	18701	1436,102800317,2241,91,1453,56924,23012,558,51701,5292,11329,5603,5567,4140,26524,7048,9262,4214,5613,83983,207,5058,1445,2870,9475,150094,3716,5606,57396,5582,369,9448,23678,238,7294,2931,85481,10114,6732,5604,6793,5568,9748,8986,57118,5579,6093,6790,57551,283106,23097,699,983,140609,55351,5588,27347,10645,6195,5585,2242,2011,9344,817,7006,8536,6794,1859,156,9641,11183,6714,640,7297,51347,695,1198,5583,2268,2932,2047,6446,50488,23683,5128,9874,10188,90,6197,5127,8408,1432,5894,208,3718,140901,81788,4067,120892,11035,2049,54861,5062,4638,5608,9943,8317,25865,6787,1263,2534,23604,7046,7867,28996,818,8569,1612,29110,5595,122011,658,204851,2041,25778,2185,1455,5218,83903,1021,202374,5261,7465,6733,3055,3643,53944,9020,7443,3717,5594,9252,1452,84254,340156,10783,4216,4593,5597,2321,5607,10000,8621,23387,3985,5580,11040,6789,55561,415116,11011,9706,57787,4296,5170,5590,149420,5581,25,6885,27,7535,9263,8428,6850,5347,9833,6196,157,1025,23043,5979,146057,5159,1195	CSF1R,TPTEP2-CSNK1E,FER,ACVR1B,CSNK1D,PAK6,STK38L,AXL,NLK,PIM1,STK38,MAPK13,PRKACB,MARK3,LATS2,TGFBR2,STK17B,MAP3K1,PRKX,TSSK6,AKT1,PAK1,CSK,GRK6,ROCK2,SIK1,JAK1,MAP2K3,CLK4,PRKCG,ARAF,MAP4K4,SGK3,ALK,TXK,GSK3A,PSKH2,HIPK3,SRPK1,MAP2K1,STK10,PRKACG,SLK,RPS6KA4,CAMK1D,PRKCB,ROCK1,AURKA,TAOK1,CSNK2A3,CDK19,BUB1,CDK1,NEK7,STK32B,PRKCQ,STK39,CAMKK2,RPS6KA1,PKN1,FES,MARK2,TAOK2,CAMK2D,TEC,CAMK1,STK11,DYRK1A,GRK2,IKBKE,MAP4K5,SRC,BLK,TYK2,TAOK3,BTK,CLK3,PRKCH,FGR,GSK3B,EPHB1,SGK1,MINK1,PRKD3,CDK17,TLK1,TNK2,ACVR1,RPS6KA3,CDK16,ULK1,MAPK14,RAF1,AKT2,JAK3,STK35,NUAK2,LYN,LRRK2,RIPK3,EPHB3,SNRK,PAK2,MYLK,MAP2K6,OXSR1,CDC7,PRKD2,NEK4,PLK3,FYN,DAPK2,TGFBR1,MAPKAPK3,HIPK2,CAMK2G,MKNK1,DAPK1,TBK1,MAPK3,CSNK1A1L,BMPR1B,HIPK1,EPHA1,DSTYK,PTK2B,CSNK1G2,CDK14,HASPIN,CDK6,STK32A,PHKG2,WEE1,SRPK2,HCK,INSR,CSNK1G1,MAP3K14,VRK1,JAK2,MAPK1,RPS6KA5,CSNK1A1,CAMKK1,MYLK4,NEK6,MAP3K4,MUSK,MAPK6,FLT1,MAP2K5,AKT3,CDK13,SIK3,LIMK2,PRKCD,PIM2,STK4,CDC42BPG,PIM3,TLK2,ULK2,MARK4,MAP3K11,PDPK1,PRKCZ,PDIK1L,PRKCE,ABL1,MAP3K7,ABL2,ZAP70,STK17A,STK24,SYK,PLK1,MELK,RPS6KA2,GRK3,CDK9,TNIK,RET,TTBK2,PDGFRB,CLK1
IPR036860	SH2_dom_sf	7.10019492732515e-10	-21.0657286917172	113	70	0.0111075848936845	6302	18701	6774,2534,4690,90525,84941,5336,4067,3718,2241,126432,7145,3717,29760,3055,8412,7294,1398,6464,10044,3716,79890,387694,1445,5296,6778,84174,2242,9021,63898,7410,6776,8440,9610,27071,10019,868,1124,2885,10603,7409,6772,117157,5335,10451,6503,2268,6452,6461,284948,64759,3937,7297,695,6714,640,5777,6850,7535,54453,3635,5295,7006,27,25,6777,867,8503,8651,1399,1154	STAT3,FYN,NCK1,SHF,HSH2D,PLCG2,LYN,JAK3,FER,RINL,TNS1,JAK2,BLNK,HCK,BCAR3,TXK,CRK,SHC1,SH2D3C,JAK1,RIN3,SH2D4B,CSK,PIK3R2,STAT6,SLA2,FES,SOCS3,SH2D4A,VAV2,STAT5A,NCK2,RIN1,DAPP1,SH2B3,CBLB,CHN2,GRB2,SH2B2,VAV1,STAT1,SH2D1B,PLCG1,VAV3,SLA,FGR,SH3BP2,SHB,SH2D6,TNS3,LCP2,TYK2,BTK,SRC,BLK,PTPN6,SYK,ZAP70,RIN2,INPP5D,PIK3R1,TEC,ABL2,ABL1,STAT5B,CBL,PIK3R3,SOCS1,CRKL,CISH
IPR000980	SH2	4.48559515696623e-09	-19.2223946508044	110	67	0.0106315455410981	6302	18701	7294,8412,3055,29760,3717,1445,387694,6778,5296,3716,10044,79890,6464,1398,84941,90525,4690,2534,6774,7145,2241,3718,4067,5336,695,7297,640,6714,284948,3937,64759,2268,6503,6452,6461,1154,8503,6777,8651,1399,5295,3635,7535,54453,27,25,7006,5777,6850,2885,10603,27071,7410,63898,8440,6776,9610,1124,10019,2242,84174,9021,5335,10451,117157,6772,7409	TXK,BCAR3,HCK,BLNK,JAK2,CSK,SH2D4B,STAT6,PIK3R2,JAK1,SH2D3C,RIN3,SHC1,CRK,HSH2D,SHF,NCK1,FYN,STAT3,TNS1,FER,JAK3,LYN,PLCG2,BTK,TYK2,BLK,SRC,SH2D6,LCP2,TNS3,FGR,SLA,SH3BP2,SHB,CISH,PIK3R3,STAT5B,SOCS1,CRKL,PIK3R1,INPP5D,ZAP70,RIN2,ABL2,ABL1,TEC,PTPN6,SYK,GRB2,SH2B2,DAPP1,VAV2,SH2D4A,NCK2,STAT5A,RIN1,CHN2,SH2B3,FES,SLA2,SOCS3,PLCG1,VAV3,SH2D1B,STAT1,VAV1
IPR001452	SH3_domain	1.11266739375479e-07	-16.0113354609225	223	113	0.0179308156140908	6302	18701	4067,4354,5336,51429,653361,23048,6453,10254,4739,10188,26084,153769,6455,143098,2534,3059,50618,4690,57522,9873,51100,23380,1739,1398,56904,3927,54869,112574,50649,54806,785,94134,1445,5296,3275,783,23268,23092,54436,57630,4688,9051,57091,3055,30011,7294,2533,4643,9459,274,2059,346389,201176,7409,4689,246329,54440,11252,7204,23499,9644,8470,285590,5335,64333,10451,64429,80022,23328,84174,273,64092,375056,8522,79574,80005,7410,8440,8027,84106,2885,8853,27352,9732,1795,5295,5339,27,25,7006,4542,393,1399,8874,1794,4296,221178,9853,84959,2268,7159,6503,1742,9414,10006,9231,79729,695,26578,640,6714,10458,667	LYN,MPP1,PLCG2,SNX9,NCF1,FNBP1,ITSN1,STAM2,NEDD9,TNK2,ARHGEF26,SH3RF2,SH3GL1,MPP7,FYN,HCLS1,ITSN2,NCK1,SRGAP1,FCHSD2,SH3GLB1,SRGAP2,DLG1,CRK,SH3GLB2,LASP1,EPS8L1,SNX18,ARHGEF4,AHI1,CACNB4,ARHGAP12,CSK,PIK3R2,PRMT2,CACNB2,DNMBP,ARHGAP26,SH3TC1,SH3RF1,NCF2,PSTPIP1,CASS4,HCK,SH3KBP1,TXK,FYB1,MYO1E,ARHGEF6,BIN1,EPS8,MACC1,ARHGAP27,VAV1,NCF4,STAC3,SASH3,PACSIN2,TRIO,MACF1,SH3PXD2A,SORBS2,SH3PXD2B,PLCG1,ARHGAP9,VAV3,ZDHHC6,MYO15B,SASH1,SLA2,AMPH,SAMSN1,MIA3,GAS7,EPS8L3,DOCK5,VAV2,NCK2,STAM,PRAM1,GRB2,ASAP2,SGSM3,DOCK4,DOCK3,PIK3R1,PLEC,ABL2,ABL1,TEC,MYO1F,ARHGAP4,CRKL,ARHGEF7,DOCK2,MAP3K11,SPATA13,RUSC2,UBASH3B,FGR,TP53BP2,SLA,DLG4,TJP2,ABI1,DLG5,SH3D21,BTK,OSTF1,BLK,SRC,BAIAP2,DST
IPR001849	PH_domain	1.91486926954094e-07	-15.4684462972142	266	130	0.0206283719454142	6302	18701	9181,9475,9265,79674,10087,9922,55803,9459,7074,114879,6093,9842,57580,55041,9046,1796,5336,23362,5337,23095,26030,116984,23550,221472,9462,84904,207,50618,9844,4983,156,6654,83706,29,8660,153090,55616,9267,7006,27128,695,114883,23102,54477,6452,23207,5341,89846,79930,11214,139818,64333,10451,201176,79666,65059,5333,10603,23527,8853,114882,23101,113026,6711,23228,22821,50649,94134,58504,55357,6655,400224,26031,199786,23075,50650,23092,80301,90102,5924,50619,23683,26084,5922,219790,64855,208,139716,6453,26034,55619,25865,55198,64411,81846,51332,7262,59339,23239,8874,23096,64283,121512,63916,22822,26230,9938,83478,157,114885,221178,389072,116985,7204,6641,8527,9846,5335,11033,7409,54518,10000,55843,23370,5334,7410,27071,57569,10019,55561	ARHGEF2,ROCK2,CYTH3,VEPH1,CERT1,IQSEC1,ADAP2,ARHGEF6,TIAM1,OSBPL5,ROCK1,PLEKHM1,PREX1,PLEKHB2,DOK2,DOK1,PLCG2,PSD3,PLD1,KIF1B,PLEKHG3,ARAP2,PSD4,FGD2,RASAL2,ARHGEF39,AKT1,ITSN2,ELMO1,OPHN1,GRK2,SOS1,FERMT3,ABR,IRS2,DAB2IP,ASAP3,CYTH1,TEC,CYTH4,BTK,OSBPL9,TBC1D2B,PLEKHA5,SH3BP2,PLEKHM2,PLEK,FGD3,DOK3,AKAP13,DOCK11,ARHGAP9,VAV3,ARHGAP27,PLEKHF2,RAPH1,PLCD1,SH2B2,ACAP2,ASAP2,OSBPL8,MCF2L2,PLCD3,SPTBN1,PLCL2,RASA3,ARHGEF4,ARHGAP12,ARHGAP22,TBC1D2,SOS2,PLEKHD1,OSBPL3,NIBAN3,SWAP70,ARHGEF3,ARHGAP26,PLEKHO2,PHLDB2,RASGRF2,DEF6,PRKD3,ARHGEF26,RASA2,RTKN2,NIBAN2,AKT2,GAB3,ITSN1,IPCEF1,DOCK10,PRKD2,APPL2,ARAP3,SBF2,SPTBN5,PHLDA2,PLEKHA2,PHLPP1,ARHGEF7,IQSEC2,ARHGEF28,FGD4,ELMO2,PHLDA1,TIAM2,ARHGAP25,ARHGAP24,GRK3,OSBPL11,SPATA13,PLEKHM3,ARAP1,TRIO,SNTB1,DGKD,GAB2,PLCG1,ADAP1,VAV1,APBB1IP,AKT3,ARHGAP15,ARHGEF18,PLCL1,VAV2,DAPP1,ARHGAP20,SH2B3,CDC42BPG
IPR036028	SH3-like_dom_sf	2.02028191093837e-07	-15.4148585894123	213	108	0.0171374166931133	6302	18701	79729,10006,9231,10458,6714,640,695,26578,221178,9853,9414,84959,2268,1742,7159,6503,393,1399,8874,4542,4296,1794,1795,27,25,7006,5295,8853,27352,2885,9732,64092,8522,375056,80022,23328,273,84174,8027,84106,79574,8440,7410,80005,9644,8470,285590,7204,11252,10451,64333,5335,4689,7409,201176,2059,54440,246329,57091,3055,30011,4643,9459,274,7294,2533,54436,23092,23268,4688,9051,57630,54806,112574,50649,5296,783,3275,785,1445,94134,1398,56904,23380,1739,54869,3927,4690,57522,9873,51100,153769,6455,50618,143098,2534,3059,10254,26084,4739,10188,51429,4067,4354,5336,23048,653361,6453	SH3D21,ABI1,DLG5,BAIAP2,SRC,BLK,BTK,OSTF1,SPATA13,RUSC2,TJP2,UBASH3B,FGR,DLG4,TP53BP2,SLA,ARHGAP4,CRKL,ARHGEF7,MYO1F,MAP3K11,DOCK2,DOCK3,ABL2,ABL1,TEC,PIK3R1,ASAP2,SGSM3,GRB2,DOCK4,SAMSN1,GAS7,MIA3,MYO15B,SASH1,AMPH,SLA2,STAM,PRAM1,EPS8L3,NCK2,VAV2,DOCK5,SH3PXD2A,SORBS2,SH3PXD2B,TRIO,PACSIN2,VAV3,ARHGAP9,PLCG1,NCF4,VAV1,ARHGAP27,EPS8,SASH3,STAC3,CASS4,HCK,SH3KBP1,MYO1E,ARHGEF6,BIN1,TXK,FYB1,SH3TC1,ARHGAP26,DNMBP,NCF2,PSTPIP1,SH3RF1,AHI1,SNX18,ARHGEF4,PIK3R2,CACNB2,PRMT2,CACNB4,CSK,ARHGAP12,CRK,SH3GLB2,SRGAP2,DLG1,EPS8L1,LASP1,NCK1,SRGAP1,FCHSD2,SH3GLB1,SH3RF2,SH3GL1,ITSN2,MPP7,FYN,HCLS1,STAM2,ARHGEF26,NEDD9,TNK2,SNX9,LYN,MPP1,PLCG2,FNBP1,NCF1,ITSN1
