TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04380	Osteoclast differentiation	2.50569286031936e-13	-29.0150409216841	130	89	0.0330732069862505	2691	7255	1513,5594,5291,1432,29760,5603,5879,10000,8792,1435,2353,2534,3552,5293,2355,9020,3459,7189,7297,4792,3690,1385,54,2212,8517,8651,3937,10288,10379,6885,1535,7006,11025,8503,7132,11024,3460,7046,4772,11006,9846,126014,2214,1536,5468,3716,3551,8878,6850,5970,6772,207,9021,4791,5534,4286,5604,11027,3455,140885,7305,2209,3553,1540,10859,5608,208,10326,5535,23118,5595,353514,2885,5336,4689,10454,7048,2215,695,3454,5296,6688,3554,7040,4688,653361,5295,50508,1436	CTSK,MAPK1,PIK3CB,MAPK14,BLNK,MAPK13,RAC1,AKT3,TNFRSF11A,CSF1,FOS,FYN,IL1A,PIK3CD,FOSL2,MAP3K14,IFNGR1,TRAF6,TYK2,NFKBIA,ITGB3,CREB1,ACP5,FCGR2A,IKBKG,SOCS1,LCP2,LILRB2,IRF9,MAP3K7,CYBA,TEC,LILRB3,PIK3R3,TNFRSF1A,LILRA1,IFNGR2,TGFBR1,NFATC1,LILRB4,GAB2,OSCAR,FCGR3A,CYBB,PPARG,JAK1,IKBKB,SQSTM1,SYK,RELA,STAT1,AKT1,SOCS3,NFKB2,PPP3R1,MITF,MAP2K1,LILRA2,IFNAR2,SIRPA,TYROBP,FCGR1A,IL1B,CYLD,LILRB1,MAP2K6,AKT2,SIRPB1,PPP3R2,TAB2,MAPK3,LILRA5,GRB2,PLCG2,NCF4,TAB1,TGFBR2,FCGR3B,BTK,IFNAR1,PIK3R2,SPI1,IL1R1,TGFB1,NCF2,NCF1,PIK3R1,NOX3,CSF1R
hsa04380	Osteoclast differentiation	2.50569286031936e-13	-29.0150409216841	130	89	0.0330732069862505	2691	7255	3551,8878,6850,5970,1536,126014,2214,9846,11006,4772,3716,5468,11024,7132,8503,7046,3460,8517,10288,8651,3937,2212,54,1385,11025,6885,1535,7006,10379,9020,5293,2355,4792,7297,3690,3459,7189,2534,2353,8792,1435,10000,3552,5603,29760,5879,1513,1432,5594,5291,4688,3554,7040,5296,6688,1436,50508,5295,653361,7048,10454,3454,695,2215,4689,5336,2885,353514,5595,5608,10859,1540,3553,2209,5535,23118,10326,208,7305,140885,9021,207,6772,11027,5604,3455,4286,4791,5534	IKBKB,SQSTM1,SYK,RELA,CYBB,OSCAR,FCGR3A,GAB2,LILRB4,NFATC1,JAK1,PPARG,LILRA1,TNFRSF1A,PIK3R3,TGFBR1,IFNGR2,IKBKG,LILRB2,SOCS1,LCP2,FCGR2A,ACP5,CREB1,LILRB3,MAP3K7,CYBA,TEC,IRF9,MAP3K14,PIK3CD,FOSL2,NFKBIA,TYK2,ITGB3,IFNGR1,TRAF6,FYN,FOS,TNFRSF11A,CSF1,AKT3,IL1A,MAPK13,BLNK,RAC1,CTSK,MAPK14,MAPK1,PIK3CB,NCF2,IL1R1,TGFB1,PIK3R2,SPI1,CSF1R,NOX3,PIK3R1,NCF1,TGFBR2,TAB1,IFNAR1,BTK,FCGR3B,NCF4,PLCG2,GRB2,LILRA5,MAPK3,MAP2K6,LILRB1,CYLD,IL1B,FCGR1A,PPP3R2,TAB2,SIRPB1,AKT2,TYROBP,SIRPA,SOCS3,AKT1,STAT1,LILRA2,MAP2K1,IFNAR2,MITF,NFKB2,PPP3R1
hsa04666	Fc gamma R-mediated phagocytosis	1.10764421827425e-12	-27.5287856818085	91	67	0.0248978075065032	2691	7255	10552,5594,5291,5894,10093,3635,7409,5879,1072,8398,5058,998,283748,5579,255189,55616,10000,7454,4067,27040,2934,3055,8976,5335,5293,1399,2212,273,1398,5581,10109,8503,56848,10163,2214,9846,85477,5337,6850,8936,5604,8853,207,7410,3985,5321,274,1073,10451,7408,382,208,5880,2209,5788,5580,5336,5595,10095,5582,653361,5295,5296,4082,1794,65108,10092	ARPC1A,MAPK1,PIK3CB,RAF1,ARPC4,INPP5D,VAV1,RAC1,CFL1,PLA2G6,PAK1,CDC42,PLA2G4D,PRKCB,PLA2G4F,ASAP3,AKT3,WAS,LYN,LAT,GSN,HCK,WASL,PLCG1,PIK3CD,CRKL,FCGR2A,AMPH,CRK,PRKCE,ARPC2,PIK3R3,SPHK2,WASF2,FCGR3A,GAB2,SCIN,PLD1,SYK,WASF1,MAP2K1,ASAP2,AKT1,VAV2,LIMK2,PLA2G4A,BIN1,CFL2,VAV3,VASP,ARF6,AKT2,RAC2,FCGR1A,PTPRC,PRKCD,PLCG2,MAPK3,ARPC1B,PRKCG,NCF1,PIK3R1,PIK3R2,MARCKS,DOCK2,MARCKSL1,ARPC5
ko04666	Fc gamma R-mediated phagocytosis	1.10764421827425e-12	-27.5287856818085	91	67	0.0248978075065032	2691	7255	5336,10095,5595,5788,5580,5582,5296,653361,5295,65108,1794,4082,10092,8853,207,5604,8936,7410,7408,10451,382,3985,5321,274,1073,5880,2209,208,2212,5581,10109,8503,273,1398,2214,9846,56848,10163,5337,85477,6850,10093,5894,7409,3635,10552,5594,5291,8398,1072,998,5058,5879,5579,255189,10000,7454,55616,283748,1399,5293,5335,27040,4067,8976,3055,2934	PLCG2,ARPC1B,MAPK3,PTPRC,PRKCD,PRKCG,PIK3R2,NCF1,PIK3R1,MARCKSL1,DOCK2,MARCKS,ARPC5,ASAP2,AKT1,MAP2K1,WASF1,VAV2,VASP,VAV3,ARF6,LIMK2,PLA2G4A,BIN1,CFL2,RAC2,FCGR1A,AKT2,FCGR2A,PRKCE,ARPC2,PIK3R3,AMPH,CRK,FCGR3A,GAB2,SPHK2,WASF2,PLD1,SCIN,SYK,ARPC4,RAF1,VAV1,INPP5D,ARPC1A,MAPK1,PIK3CB,PLA2G6,CFL1,CDC42,PAK1,RAC1,PRKCB,PLA2G4F,AKT3,WAS,ASAP3,PLA2G4D,CRKL,PIK3CD,PLCG1,LAT,LYN,WASL,HCK,GSN
ko04621	NOD-like receptor signaling pathway	3.64028197720232e-11	-24.0363748780218	170	105	0.0390189520624303	2691	7255	340061,3320,9447,4938,6041,834,2919,118429,6885,1535,10379,64170,10392,8517,5970,7187,3551,25828,3716,10628,4671,1536,3606,6352,8737,5603,84674,5594,1432,140609,55054,846,330,7297,4792,7189,257397,114548,7128,10010,64127,59082,7417,199713,841,387,10616,29110,3576,3454,11345,79671,820,115362,10454,7419,114769,90550,22900,7099,171389,5580,9051,5595,23236,11035,10059,22861,56919,54822,7226,2635,50508,9927,91662,1508,3709,596,3708,331,4939,6347,440068,2633,5330,5027,838,55914,10135,3455,51393,3665,3569,6772,23118,8767,9641,3553,4615,7205,8772,100506742,2920,3428,148022	TMEM173,HSP90AA1,AIM2,OAS1,RNASEL,CASP1,CXCL1,ANTXR2,MAP3K7,CYBA,IRF9,CARD9,NOD1,IKBKG,RELA,TRAF3,IKBKB,TXN2,JAK1,TXNIP,NAIP,CYBB,IL18,CCL5,RIPK1,MAPK13,CARD6,MAPK1,MAPK14,NEK7,ATG16L1,CASR,BIRC3,TYK2,NFKBIA,TRAF6,TAB3,NLRP3,TNFAIP3,TANK,NOD2,CARD18,VDAC2,NLRP7,CASP8,RHOA,RBCK1,TBK1,CXCL8,IFNAR1,GABARAPL2,NLRX1,CAMP,GBP5,TAB1,VDAC3,CARD16,MCU,CARD8,TLR4,NLRP6,PRKCD,PSTPIP1,MAPK3,PLCB1,RIPK3,DNM1L,NLRP1,DHX33,TRPM7,TRPM2,GBP3,NOX3,MFN2,NLRP12,CTSB,ITPR2,BCL2,ITPR1,XIAP,OAS2,CCL2,CARD17,GBP1,PLCB2,P2RX7,CASP5,ERBIN,NAMPT,IFNAR2,TRPV2,IRF7,IL6,STAT1,TAB2,RIPK2,IKBKE,IL1B,MYD88,TRIP6,FADD,CASP12,CXCL2,IFI16,TICAM1
hsa04621	NOD-like receptor signaling pathway	3.64028197720232e-11	-24.0363748780218	170	105	0.0390189520624303	2691	7255	3553,9641,8767,23118,148022,2920,3428,100506742,8772,7205,4615,440068,6347,4939,331,3708,6772,3665,3569,10135,3455,51393,55914,838,5027,5330,2633,56919,22861,10059,11035,23236,596,3709,91662,1508,50508,2635,9927,54822,7226,7099,171389,22900,114769,90550,7419,10454,820,115362,3454,11345,79671,3576,5595,9051,5580,7128,10010,114548,257397,7189,4792,7297,29110,387,10616,841,7417,199713,59082,64127,84674,5603,8737,6352,330,846,55054,140609,1432,5594,3551,7187,5970,3606,1536,4671,10628,3716,25828,2919,118429,6041,834,9447,4938,3320,340061,8517,64170,10392,10379,1535,6885	IL1B,IKBKE,RIPK2,TAB2,TICAM1,CXCL2,IFI16,CASP12,FADD,TRIP6,MYD88,CARD17,CCL2,OAS2,XIAP,ITPR1,STAT1,IRF7,IL6,NAMPT,IFNAR2,TRPV2,ERBIN,CASP5,P2RX7,PLCB2,GBP1,DHX33,NLRP1,DNM1L,RIPK3,PLCB1,BCL2,ITPR2,NLRP12,CTSB,NOX3,GBP3,MFN2,TRPM7,TRPM2,TLR4,NLRP6,CARD8,CARD16,MCU,VDAC3,TAB1,CAMP,GBP5,IFNAR1,GABARAPL2,NLRX1,CXCL8,MAPK3,PSTPIP1,PRKCD,TNFAIP3,TANK,NLRP3,TAB3,TRAF6,NFKBIA,TYK2,TBK1,RHOA,RBCK1,CASP8,VDAC2,NLRP7,CARD18,NOD2,CARD6,MAPK13,RIPK1,CCL5,BIRC3,CASR,ATG16L1,NEK7,MAPK14,MAPK1,IKBKB,TRAF3,RELA,IL18,CYBB,NAIP,TXNIP,JAK1,TXN2,CXCL1,ANTXR2,RNASEL,CASP1,AIM2,OAS1,HSP90AA1,TMEM173,IKBKG,CARD9,NOD1,IRF9,CYBA,MAP3K7
hsa04066	HIF-1 signaling pathway	5.37012947805493e-10	-21.3449989103407	101	68	0.0252694165737644	2691	7255	112398,208,1906,8569,54583,3939,5211,6774,5160,5604,3569,5230,3099,207,3101,6513,8453,818,4055,5295,50508,1387,5296,6923,7422,596,3091,6194,1027,5582,3570,3479,7099,3162,5595,5209,5336,5054,3459,5293,226,5335,7037,2033,10000,51378,2597,3643,5579,9978,1026,817,5594,5291,284,405,5970,1977,9470,4843,2321,7428,1536,3460,3098,8503,4878,5163	EGLN2,AKT2,EDN1,MKNK1,EGLN1,LDHA,PFKL,STAT3,PDHA1,MAP2K1,IL6,PGK1,HK2,AKT1,HK3,SLC2A1,CUL2,CAMK2G,LTBR,PIK3R1,NOX3,CREBBP,PIK3R2,ELOB,VEGFA,BCL2,HIF1A,RPS6,CDKN1B,PRKCG,IL6R,IGF1,TLR4,HMOX1,MAPK3,PFKFB3,PLCG2,SERPINE1,IFNGR1,PIK3CD,ALDOA,PLCG1,TFRC,EP300,AKT3,ANGPT4,GAPDH,INSR,PRKCB,RBX1,CDKN1A,CAMK2D,MAPK1,PIK3CB,ANGPT1,ARNT,RELA,EIF4E,EIF4E2,NOS2,FLT1,VHL,CYBB,IFNGR2,HK1,PIK3R3,NPPA,PDK1
ko04062	Chemokine signaling pathway	3.68626977700535e-09	-19.4186507907391	182	106	0.0393905611296916	2691	7255	2829,6347,7410,2309,2931,6774,207,7852,6772,388372,1233,5330,1234,1524,5604,1235,5829,109,5880,208,6348,414062,10451,2920,6714,6654,729230,2771,6464,3576,6351,5595,2885,2870,1230,5580,2793,6387,1794,409,10663,23236,5296,6655,3717,653361,5295,59345,6355,998,5058,2773,5879,6352,3579,7409,5894,5291,9475,5594,113,9844,643,6368,54331,5293,1399,5906,3718,4792,8976,3055,4067,5590,7074,10000,387,7454,5579,6093,2783,5567,57580,8503,9560,2919,6346,6777,55970,6364,2268,6367,56288,2185,1398,5568,8517,157,1232,3551,5970,6349,2932,196883,2782,156	XCR1,CCL2,VAV2,FOXO3,GSK3A,STAT3,AKT1,CXCR4,STAT1,CCL4L1,CCR4,PLCB2,CCR5,CX3CR1,MAP2K1,CCR6,PXN,ADCY3,RAC2,AKT2,CCL3,CCL3L3,VAV3,CXCL2,SRC,SOS1,CCR2,GNAI2,SHC1,CXCL8,CCL4,MAPK3,GRB2,GRK6,CCR1,PRKCD,GNGT2,CXCL12,DOCK2,ARRB2,CXCR6,PLCB1,PIK3R2,SOS2,JAK2,NCF1,PIK3R1,GNB4,CCL8,CDC42,PAK1,GNAI3,RAC1,CCL5,CXCR2,VAV1,RAF1,PIK3CB,ROCK2,MAPK1,ADCY7,ELMO1,CXCR5,CCL23,GNG2,PIK3CD,CRKL,RAP1A,JAK3,NFKBIA,WASL,HCK,LYN,PRKCZ,TIAM1,AKT3,RHOA,WAS,PRKCB,ROCK1,GNB2,PRKACB,PREX1,PIK3R3,CCL4L2,CXCL1,CCL1,STAT5B,GNG12,CCL20,FGR,CCL22,PARD3,PTK2B,CRK,PRKACG,IKBKG,GRK3,CCR3,IKBKB,RELA,CCL3L1,GSK3B,ADCY4,GNB1,GRK2
hsa04062	Chemokine signaling pathway	3.68626977700535e-09	-19.4186507907391	182	106	0.0393905611296916	2691	7255	8976,3055,4792,3718,5590,4067,54331,5906,1399,5293,6368,2783,6093,7454,387,10000,7074,5579,6352,5879,998,5058,2773,113,5291,5594,9475,643,9844,3579,7409,5894,6349,5970,157,1232,3551,2782,2932,196883,156,56288,1398,2185,8503,2919,9560,5567,57580,6364,6367,2268,6777,6346,55970,5568,8517,208,6348,1235,5829,5880,109,6654,6714,729230,414062,10451,2920,6774,6347,2829,7410,2931,2309,1233,5330,5604,1524,1234,6772,388372,207,7852,10663,409,23236,1794,59345,653361,5295,6355,5296,6655,3717,3576,6351,2771,6464,2793,5580,6387,5595,1230,2870,2885	WASL,HCK,NFKBIA,JAK3,PRKCZ,LYN,GNG2,RAP1A,CRKL,PIK3CD,CCL23,GNB2,ROCK1,WAS,RHOA,AKT3,TIAM1,PRKCB,CCL5,RAC1,CDC42,PAK1,GNAI3,ADCY7,PIK3CB,MAPK1,ROCK2,CXCR5,ELMO1,CXCR2,VAV1,RAF1,CCL3L1,RELA,GRK3,CCR3,IKBKB,GNB1,GSK3B,ADCY4,GRK2,PARD3,CRK,PTK2B,PIK3R3,CXCL1,CCL4L2,PRKACB,PREX1,CCL20,CCL22,FGR,STAT5B,CCL1,GNG12,PRKACG,IKBKG,AKT2,CCL3,CCR6,PXN,RAC2,ADCY3,SOS1,SRC,CCR2,CCL3L3,VAV3,CXCL2,STAT3,CCL2,XCR1,VAV2,GSK3A,FOXO3,CCR4,PLCB2,MAP2K1,CX3CR1,CCR5,STAT1,CCL4L1,AKT1,CXCR4,CXCR6,ARRB2,PLCB1,DOCK2,GNB4,NCF1,PIK3R1,CCL8,PIK3R2,SOS2,JAK2,CXCL8,CCL4,GNAI2,SHC1,GNGT2,PRKCD,CXCL12,MAPK3,CCR1,GRK6,GRB2
ko04144	Endocytosis	7.88149002458901e-09	-18.6587488615369	260	141	0.052396878483835	2691	7255	3304,3561,1436,60682,4218,51510,79720,51100,161,1175,64145,1211,440073,10254,832,3133,9798,6642,5869,2870,3482,56904,23111,7048,6714,274,382,51160,4087,7879,29924,116984,830,4734,1234,154,7852,128866,253725,27128,100287171,10015,1213,8411,1173,867,26286,9829,5337,9265,58513,55737,8218,7456,9146,56288,273,55048,10109,64411,1601,8766,387,5867,4088,8976,9267,868,3799,27243,10890,10565,11031,998,9101,9372,7040,5979,409,23362,147179,2348,10092,8724,10095,8027,30846,3107,26119,100526767,11021,23527,3134,23550,9765,8853,23096,829,2321,51324,156,2352,116985,157,9922,3559,387680,6643,6455,7046,5878,5371,2060,3312,58533,51019,55616,9815,51699,7454,64744,30011,10564,30844,30845,7189,5590,7037,80223,84440,10552,91782,160,89853,3579,3105,64750,10093,375,9525,23327	HSPA1B,IL2RG,CSF1R,SMAP1,RAB8A,CHMP5,VPS37B,SH3GLB1,AP2A2,AP2S1,RBSN,CLTA,IQSEC3,STAM2,CAPZB,HLA-E,IST1,SNX1,RAB5B,GRK6,IGF2R,SH3GLB2,SPART,TGFBR2,SRC,BIN1,ARF6,VPS28,SMAD2,RAB7A,EPN1,ARAP2,CAPZA2,NEDD4,CCR5,ADRB2,CXCR4,CHMP4B,WASHC2C,CYTH4,WASHC1,PDCD6IP,CLTC,EEA1,AP2M1,CBL,ARFGAP3,DNAJC6,PLD1,CYTH3,EPS15L1,VPS35,CLTCL1,WIPF1,HGS,PARD3,AMPH,VPS37C,ARPC2,ARAP3,DAB2,RAB11A,RHOA,RAB4A,SMAD3,WASL,CYTH1,CBLB,KIF5B,CHMP2A,RAB10,ARFGEF1,RAB31,CDC42,USP8,ZFYVE9,TGFB1,RET,ARRB2,PSD3,WIPF2,FOLR1,ARPC5,SNX3,ARPC1B,STAM,EHD2,HLA-C,LDLRAP1,RNF103-CHMP3,RAB35,ACAP2,HLA-F,PSD4,ZFYVE16,ASAP2,IQSEC2,CAPZA1,FLT1,SPG21,GRK2,FOLR3,ARAP1,GRK3,IQSEC1,IL2RA,WASHC2A,SNX2,SH3GL1,TGFBR1,RAB5C,PML,EPS15,HSPA8,SNX6,WASHC3,ASAP3,GIT2,VPS29,WAS,SMAP2,SH3KBP1,ARFGEF2,EHD4,EHD3,TRAF6,PRKCZ,TFRC,RAB11FIP1,RAB11FIP4,ARPC1A,CHMP7,AP2A1,MVB12B,CXCR2,HLA-A,SMURF2,ARPC4,ARF1,VPS4B,NEDD4L
