TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
tcr_pathway	TCR signaling in naive CD4+ T cells	8.61204894605404e-07	-13.9649333880011	60	46	0.0448780487804878	1025	2233	27347,5777,920,3551,8915,5579,6654,6786,2534,9020,5335,9846,1445,6464,867,2533,7409,5588,2316,919,1326,2885,5170,3937,998,4690,207,5906,7454,7189,84174,5788,916,83593,3123,3122,55824,6452,940,84876,7535,5728,8517,941,942,5581	STK39,PTPN6,CD4,IKBKB,BCL10,PRKCB,SOS1,STIM1,FYN,MAP3K14,PLCG1,GAB2,CSK,SHC1,CBL,FYB1,VAV1,PRKCQ,FLNA,CD247,MAP3K8,GRB2,PDPK1,LCP2,CDC42,NCK1,AKT1,RAP1A,WAS,TRAF6,SLA2,PTPRC,CD3E,RASSF5,HLA-DRB1,HLA-DRA,PAG1,SH3BP2,CD28,ORAI1,ZAP70,PTEN,IKBKG,CD80,CD86,PRKCE
pi3kcipathway	Class I PI3K signaling events	5.02145357758616e-06	-12.2017911088862	41	33	0.0321951219512195	1025	2233	6714,5728,2309,9267,59339,2268,57580,382,5170,695,5906,3320,5295,3055,5336,9459,5335,2534,375,5291,640,6446,7409,64411,9265,5879,4067,11033,27071,8874,7074,387,6654	SRC,PTEN,FOXO3,CYTH1,PLEKHA2,FGR,PREX1,ARF6,PDPK1,BTK,RAP1A,HSP90AA1,PIK3R1,HCK,PLCG2,ARHGEF6,PLCG1,FYN,ARF1,PIK3CB,BLK,SGK1,VAV1,ARAP3,CYTH3,RAC1,LYN,ADAP1,DAPP1,ARHGEF7,TIAM1,RHOA,SOS1
erbb1_downstream_pathway	ErbB1 downstream signaling	1.23814494970994e-05	-11.2993112137894	102	68	0.0663414634146341	1025	2233	8976,7531,5595,6194,7538,7534,5291,253260,5520,5536,5607,6654,10458,4609,6548,9712,5900,466,6772,801,1848,6722,10163,5337,26999,79109,7529,5580,5295,4214,10096,10093,1843,5590,9610,5594,8826,5604,6197,6774,64223,10092,10097,5515,8986,9252,5894,2151,7532,805,5879,4208,824,10109,10006,8844,10971,10095,6714,1124,2059,7410,5170,2885,207,998,2353,1385	WASL,YWHAE,MAPK3,RPS6,ZFP36,YWHAZ,PIK3CB,RICTOR,PPP2R2A,PPP5C,MAP2K5,SOS1,BAIAP2,MYC,SLC9A1,USP6NL,RALGDS,ATF1,STAT1,CALM1,DUSP6,SRF,WASF2,PLD1,CYFIP2,MAPKAP1,YWHAB,PRKCD,PIK3R1,MAP3K1,ACTR3,ARPC4,DUSP1,PRKCZ,RIN1,MAPK1,IQGAP1,MAP2K1,RPS6KA3,STAT3,MLST8,ARPC5,ACTR2,PPP2CA,RPS6KA4,RPS6KA5,RAF1,F2RL2,YWHAG,CALM2,RAC1,MEF2C,CAPN2,ARPC2,ABI1,KSR1,YWHAQ,ARPC1B,SRC,CHN2,EPS8,VAV2,PDPK1,GRB2,AKT1,CDC42,FOS,CREB1
cxcr4_pathway	CXCR4-mediated signaling events	1.68611136544875e-05	-10.9905005545181	76	53	0.0517073170731707	1025	2233	640,919,23236,3717,5590,7409,2534,6774,64223,253260,1445,5291,9525,10672,6777,156,920,5899,7852,2870,5777,5829,5058,9146,4067,2185,54434,2268,6772,5330,6776,3688,55824,3122,3655,1398,6714,2308,2782,4318,79109,3055,1072,5295,5788,3123,916,5996,207,5170,6387,409,54331	BLK,CD247,PLCB1,JAK2,PRKCZ,VAV1,FYN,STAT3,MLST8,RICTOR,CSK,PIK3CB,VPS4B,GNA13,STAT5B,GRK2,CD4,RALB,CXCR4,GRK6,PTPN6,PXN,PAK1,HGS,LYN,PTK2B,SSH1,FGR,STAT1,PLCB2,STAT5A,ITGB1,PAG1,HLA-DRA,ITGA6,CRK,SRC,FOXO1,GNB1,MMP9,MAPKAP1,HCK,CFL1,PIK3R1,PTPRC,HLA-DRB1,CD3E,RGS1,AKT1,PDPK1,CXCL12,ARRB2,GNG2
ifngpathway	IFN-gamma pathway	4.01037585749833e-05	-10.1240404979947	40	31	0.0302439024390244	1025	2233	5594,5604,3717,1387,817,6772,867,1399,801,51588,8554,4092,5580,5595,2033,1612,6774,10379,3716,818,834,3659,3459,5295,3553,8651,2889,4214,207,4296,805	MAPK1,MAP2K1,JAK2,CREBBP,CAMK2D,STAT1,CBL,CRKL,CALM1,PIAS4,PIAS1,SMAD7,PRKCD,MAPK3,EP300,DAPK1,STAT3,IRF9,JAK1,CAMK2G,CASP1,IRF1,IFNGR1,PIK3R1,IL1B,SOCS1,RAPGEF1,MAP3K1,AKT1,MAP3K11,CALM2
pdgfrbpathway	PDGFR-beta signaling pathway	0.000205027821833989	-8.49236487177112	54	38	0.0370731707317073	1025	2233	6461,5580,6714,5770,6776,10603,2268,6772,6503,8440,5155,5728,2885,25,207,4690,7410,3055,5295,1901,3091,1445,2534,6774,5335,1796,867,640,6464,2241,4067,5879,6654,5795,5159,4609,4035,6777	SHB,PRKCD,SRC,PTPN1,STAT5A,SH2B2,FGR,STAT1,SLA,NCK2,PDGFB,PTEN,GRB2,ABL1,AKT1,NCK1,VAV2,HCK,PIK3R1,S1PR1,HIF1A,CSK,FYN,STAT3,PLCG1,DOK1,CBL,BLK,SHC1,FER,LYN,RAC1,SOS1,PTPRJ,PDGFRB,MYC,LRP1,STAT5B
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2	0.000236456648983772	-8.34974566922842	63	43	0.0419512195121951	1025	2233	2321,8828,387,6654,7428,5879,5058,805,5829,5777,8826,5594,7422,6093,6464,3091,1901,5335,5595,2534,2242,5295,10818,4734,2034,8829,1003,405,3320,3690,998,4690,207,5170,2885,1499,2185,801,7414,6714,6461,5606,9175	FLT1,NRP2,RHOA,SOS1,VHL,RAC1,PAK1,CALM2,PXN,PTPN6,IQGAP1,MAPK1,VEGFA,ROCK1,SHC1,HIF1A,S1PR1,PLCG1,MAPK3,FYN,FES,PIK3R1,FRS2,NEDD4,EPAS1,NRP1,CDH5,ARNT,HSP90AA1,ITGB3,CDC42,NCK1,AKT1,PDPK1,GRB2,CTNNB1,PTK2B,CALM1,VCL,SRC,SHB,MAP2K3,MAP3K13
cd8tcrpathway	TCR signaling in naive CD8+ T cells	0.000366416021151033	-7.91174120027136	48	34	0.0331707317073171	1025	2233	5777,8915,3551,6786,6654,5579,9020,5335,2534,1445,867,919,7409,5588,207,1326,2885,3937,5170,27040,5906,7189,5788,916,83593,55824,3105,8517,940,84876,7535,5581,942,941	PTPN6,BCL10,IKBKB,STIM1,SOS1,PRKCB,MAP3K14,PLCG1,FYN,CSK,CBL,CD247,VAV1,PRKCQ,AKT1,MAP3K8,GRB2,LCP2,PDPK1,LAT,RAP1A,TRAF6,PTPRC,CD3E,RASSF5,PAG1,HLA-A,IKBKG,CD28,ORAI1,ZAP70,PRKCE,CD86,CD80
s1p_s1p3_pathway	S1P3 pathway	0.000403608029924523	-7.81506637393318	28	22	0.0214634146341463	1025	2233	387,5159,2321,7852,2773,9630,10672,1903,2771,3690,2776,5879,2768,207,2769,3717,5594,7422,10000,1901,6714,5595	RHOA,PDGFRB,FLT1,CXCR4,GNAI3,GNA14,GNA13,S1PR3,GNAI2,ITGB3,GNAQ,RAC1,GNA12,AKT1,GNA15,JAK2,MAPK1,VEGFA,AKT3,S1PR1,SRC,MAPK3
bcr_5pathway	BCR signaling pathway	0.000452472790249424	-7.70078292867777	66	44	0.0429268292682927	1025	2233	7410,5336,818,5295,7189,5788,6850,695,6885,2353,4214,207,4792,5170,2885,29760,5728,8517,801,55824,2113,5894,9467,6654,4772,8915,27071,3551,5879,1432,4067,805,597,5777,5604,5594,5970,6464,1445,5452,25998,1796,933,5595	VAV2,PLCG2,CAMK2G,PIK3R1,TRAF6,PTPRC,SYK,BTK,MAP3K7,FOS,MAP3K1,AKT1,NFKBIA,PDPK1,GRB2,BLNK,PTEN,IKBKG,CALM1,PAG1,ETS1,RAF1,SH3BP5,SOS1,NFATC1,BCL10,DAPP1,IKBKB,RAC1,MAPK14,LYN,CALM2,BCL2A1,PTPN6,MAP2K1,MAPK1,RELA,SHC1,CSK,POU2F2,IBTK,DOK1,CD22,MAPK3
met_pathway	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	0.000602109225897693	-7.41507169074514	72	47	0.0458536585365854	1025	2233	5795,387,10048,6654,1977,2151,5894,324,50649,2889,9146,57610,5058,5879,30011,5829,6615,2060,5604,5594,54453,867,8976,9846,3837,64223,8650,5335,5595,208,5295,382,2885,5170,998,4690,4214,207,1499,1399,5062,8440,3082,5770,6714,2113,1398	PTPRJ,RHOA,RANBP9,SOS1,EIF4E,F2RL2,RAF1,APC,ARHGEF4,RAPGEF1,HGS,RANBP10,PAK1,RAC1,SH3KBP1,PXN,SNAI1,EPS15,MAP2K1,MAPK1,RIN2,CBL,WASL,GAB2,KPNB1,MLST8,NUMB,PLCG1,MAPK3,AKT2,PIK3R1,ARF6,GRB2,PDPK1,CDC42,NCK1,MAP3K1,AKT1,CTNNB1,CRKL,PAK2,NCK2,HGF,PTPN1,SRC,ETS1,CRK
pi3kciaktpathway	Class I PI3K signaling events mediated by Akt	0.000937120174343506	-6.972699029581	34	25	0.024390243902439	1025	2233	9882,2931,5894,1027,208,3836,3320,842,5170,207,7532,2932,10000,5591,2309,79109,7529,7534,10971,6714,253260,2308,64223,1026,7531	TBC1D4,GSK3A,RAF1,CDKN1B,AKT2,KPNA1,HSP90AA1,CASP9,PDPK1,AKT1,YWHAG,GSK3B,AKT3,PRKDC,FOXO3,MAPKAP1,YWHAB,YWHAZ,YWHAQ,SRC,RICTOR,FOXO1,MLST8,CDKN1A,YWHAE
epopathway	EPO signaling pathway	0.00153640619518343	-6.47830922922818	33	24	0.0234146341463415	1025	2233	5777,2885,2889,4067,1432,5906,695,9021,596,5295,6777,6654,7410,7006,5336,5335,10019,6464,1399,6772,867,6776,3717,8660	PTPN6,GRB2,RAPGEF1,LYN,MAPK14,RAP1A,BTK,SOCS3,BCL2,PIK3R1,STAT5B,SOS1,VAV2,TEC,PLCG2,PLCG1,SH2B3,SHC1,CRKL,STAT1,CBL,STAT5A,JAK2,IRS2
hif1_tfpathway	HIF-1-alpha transcription factor network	0.00159473700110506	-6.44104644593042	65	42	0.0409756097560976	1025	2233	2353,207,51564,3689,6387,1385,405,3939,3099,5315,5211,226,3162,2113,4170,3098,123,5230,6667,10397,2235,5045,1387,5209,54583,2022,7852,10370,1906,2033,5054,4843,4088,3091,6513,7037,7422,5236,4089,8648,10499,3952	FOS,AKT1,HDAC7,ITGB2,CXCL12,CREB1,ARNT,LDHA,HK2,PKM,PFKL,ALDOA,HMOX1,ETS1,MCL1,HK1,PLIN2,PGK1,SP1,NDRG1,FECH,FURIN,CREBBP,PFKFB3,EGLN1,ENG,CXCR4,CITED2,EDN1,EP300,SERPINE1,NOS2,SMAD3,HIF1A,SLC2A1,TFRC,VEGFA,PGM1,SMAD4,NCOA1,NCOA2,LEP
rac1_reg_pathway	Regulation of RAC1 activity	0.00257201506156412	-5.9630656166503	39	27	0.0263414634146341	1025	2233	29127,396,392,64333,5924,10928,1124,50619,29,10006,57580,7409,55114,9181,221178,26230,1794,9844,5879,8874,2059,6654,9459,7074,7410,7204,10451	RACGAP1,ARHGDIA,ARHGAP1,ARHGAP9,RASGRF2,RALBP1,CHN2,DEF6,ABR,ABI1,PREX1,VAV1,ARHGAP17,ARHGEF2,SPATA13,TIAM2,DOCK2,ELMO1,RAC1,ARHGEF7,EPS8,SOS1,ARHGEF6,TIAM1,VAV2,TRIO,VAV3
