TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00069	Pkinase	1.20763393607356e-10	-22.8371879094033	345	174	0.0294167371090448	5915	17458	5128,208,6195,3551,1453,54861,11040,9344,2011,26750,8621,2081,9641,23012,55589,7867,8569,23043,9706,5588,57118,415116,699,9020,1263,11011,1432,149420,5127,9262,23387,5062,55561,8317,1612,55351,28951,5590,8428,6787,28996,157285,5583,9943,2870,818,57396,9252,156,9448,5606,7443,83931,51231,81788,5218,5603,7273,22848,7444,10645,5604,728642,5347,10783,6793,79705,83983,26524,157,23139,1198,3656,85481,65125,54986,57787,6732,23683,5608,4216,10114,51701,91754,7046,5581,5568,9263,1025,7204,140609,23604,983,91,53944,340156,27347,102800317,11329,8899,8986,150094,25865,11035,9113,8536,5595,5292,5585,204851,146057,5582,5594,4215,6790,1452,4638,51347,1021,10221,1455,2931,11183,202374,4140,5613,6733,9475,50488,11213,8408,207,6093,9874,57551,6196,375449,56924,2932,9833,92,5597,23097,5579,120892,10000,29110,4214,6041,9748,1326,5170,5567,6197,6446,7465,57761,23678,92335,283106,84254,5058,79834,6794,1859,5580,5261,817,122011,140901,2580,5607,6789,1195	CDK17,AKT2,RPS6KA1,IKBKB,CSNK1D,SNRK,PIM2,TAOK2,MARK2,RPS6KC1,CDK13,ERN1,IKBKE,STK38L,BMP2K,MAPKAPK3,MKNK1,TNIK,ULK2,PRKCQ,CAMK1D,PIM3,BUB1,MAP3K14,PLK3,TLK2,MAPK14,PDIK1L,CDK16,STK17B,SIK3,PAK2,CDC42BPG,CDC7,DAPK1,STK32B,TRIB2,PRKCZ,STK24,NEK4,HIPK2,PRAG1,PRKCH,OXSR1,GRK6,CAMK2G,CLK4,RPS6KA5,GRK2,MAP4K4,MAP2K3,VRK1,STK40,VRK3,NUAK2,CDK14,MAPK13,TTN,AAK1,VRK2,CAMKK2,MAP2K1,CDK11A,PLK1,NEK6,STK10,LRRK1,TSSK6,LATS2,GRK3,MAST2,CLK3,IRAK2,PSKH2,WNK1,ULK4,MARK4,SRPK1,PRKD3,MAP2K6,MAP3K4,HIPK3,NLK,NEK9,TGFBR1,PRKCE,PRKACG,STK17A,CDK9,TRIO,NEK7,DAPK2,CDK1,ACVR1B,CSNK1G1,MYLK4,STK39,TPTEP2-CSNK1E,STK38,PRPF4B,RPS6KA4,SIK1,PRKD2,RIPK3,LATS1,CAMK1,MAPK3,PIM1,PKN1,HIPK1,TTBK2,PRKCG,MAPK1,MAP3K3,AURKA,CSNK1A1,MYLK,TAOK3,CDK6,TRIB1,CSNK1G2,GSK3A,MAP4K5,STK32A,MARK3,PRKX,SRPK2,ROCK2,MINK1,IRAK3,ULK1,AKT1,ROCK1,TLK1,TAOK1,RPS6KA2,MAST4,PAK6,GSK3B,MELK,ACVR2A,MAPK6,CDK19,PRKCB,LRRK2,AKT3,TBK1,MAP3K1,RNASEL,SLK,MAP3K8,PDPK1,PRKACB,RPS6KA3,SGK1,WEE1,TRIB3,SGK3,STRADA,CSNK2A3,CAMKK1,PAK1,PEAK1,STK11,DYRK1A,PRKCD,PHKG2,CAMK2D,CSNK1A1L,STK35,GAK,MAP2K5,STK4,CLK1
PF00018	SH3_1	4.47061071002344e-09	-19.2257408134868	99	62	0.0104818258664413	5915	17458	9644,57630,7294,695,393,4689,1445,27352,54806,23380,25,7159,64333,246329,8470,3275,221178,6455,7409,6503,4688,3055,57522,1739,2885,4690,51429,27,2059,10006,5335,8440,54436,653361,285590,50649,80005,1398,54869,2268,11252,8027,1742,6453,4067,1399,23268,5336,79574,7204,2534,153769,4643,26578,9873,10254,3059,7006,640,84174,50618,6714	SH3PXD2A,SH3RF1,TXK,BTK,ARHGAP4,NCF4,CSK,SGSM3,AHI1,SRGAP2,ABL1,TP53BP2,ARHGAP9,STAC3,SORBS2,PRMT2,SPATA13,SH3GL1,VAV1,SLA,NCF2,HCK,SRGAP1,DLG1,GRB2,NCK1,SNX9,ABL2,EPS8,ABI1,PLCG1,NCK2,SH3TC1,NCF1,SH3PXD2B,ARHGEF4,DOCK5,CRK,EPS8L1,FGR,PACSIN2,STAM,DLG4,ITSN1,LYN,CRKL,DNMBP,PLCG2,EPS8L3,TRIO,FYN,SH3RF2,MYO1E,OSTF1,FCHSD2,STAM2,HCLS1,TEC,BLK,SLA2,ITSN2,SRC
PF00017	SH2	4.24891037758079e-08	-16.9740181756332	101	61	0.010312764158918	5915	17458	1154,5777,695,6464,7294,3635,84941,6778,63898,25,6461,1445,7410,27,6774,2242,8412,4690,2885,7409,3055,6503,6777,8440,5295,1398,6776,1124,5335,5296,10019,3937,29760,1399,5336,10044,4067,7535,2268,6772,90525,6452,9021,2534,284948,8651,7145,117157,8503,10451,387694,6850,2241,6714,84174,10603,640,3717,27071,64759,7006	CISH,PTPN6,BTK,SHC1,TXK,INPP5D,HSH2D,STAT6,SH2D4A,ABL1,SHB,CSK,VAV2,ABL2,STAT3,FES,BCAR3,NCK1,GRB2,VAV1,HCK,SLA,STAT5B,NCK2,PIK3R1,CRK,STAT5A,CHN2,PLCG1,PIK3R2,SH2B3,LCP2,BLNK,CRKL,PLCG2,SH2D3C,LYN,ZAP70,FGR,STAT1,SHF,SH3BP2,SOCS3,FYN,SH2D6,SOCS1,TNS1,SH2D1B,PIK3R3,VAV3,SH2D4B,SYK,FER,SRC,SLA2,SH2B2,BLK,JAK2,DAPP1,TNS3,TEC
PF00169	PH	1.18942505925458e-06	-13.6420405110758	175	90	0.0152155536770921	5915	17458	90102,156,23207,400224,26034,55041,26030,9459,79674,94134,23527,89846,27128,5337,10087,8527,10603,6641,54477,27071,1796,7074,5924,29,23092,23075,5922,65059,114883,64333,389072,26230,23095,8853,695,83706,9267,219790,139818,9846,6655,55843,221178,64411,208,22821,58504,50619,7204,9938,6452,221472,79666,116984,5341,9265,23683,7006,55619,8660,55198,10451,4983,55803,8874,114879,23239,114882,157,55357,7410,139716,23102,83478,11033,10000,55616,81846,114885,59339,6654,80301,50649,54518,10019,121512,116985,201176,207,7409	PHLDB2,GRK2,PLEKHM2,PLEKHD1,IPCEF1,PLEKHB2,PLEKHG3,ARHGEF6,VEPH1,ARHGAP12,ACAP2,FGD3,CYTH4,PLD1,CERT1,DGKD,SH2B2,SNTB1,PLEKHA5,DAPP1,DOK1,TIAM1,RASGRF2,ABR,ARHGAP26,SWAP70,RASA2,RAPH1,OSBPL9,ARHGAP9,PLEKHM3,TIAM2,KIF1B,ASAP2,BTK,FERMT3,CYTH1,RTKN2,DOCK11,GAB2,SOS2,ARHGAP15,SPATA13,ARAP3,AKT2,RASA3,ARHGAP22,DEF6,TRIO,ARHGAP25,SH3BP2,FGD2,PLEKHF2,ARAP2,PLEK,CYTH3,PRKD3,TEC,DOCK10,IRS2,APPL2,VAV3,OPHN1,ADAP2,ARHGEF7,OSBPL5,PHLPP1,OSBPL8,GRK3,TBC1D2,VAV2,GAB3,TBC1D2B,ARHGAP24,ADAP1,AKT3,ASAP3,SBF2,OSBPL11,PLEKHA2,SOS1,PLEKHO2,ARHGEF4,APBB1IP,SH2B3,FGD4,ARAP1,ARHGAP27,AKT1,VAV1
PF00307	CH	1.30832176641704e-05	-11.2441802433982	67	40	0.00676246830092984	5915	17458	7402,85458,2316,23143,23345,128239,87,7409,2317,89795,6876,5339,10982,5358,22919,8826,3936,667,10788,51332,254102,10634,8874,4034,23499,64780,79789,219537,9459,22998,29780,23384,92521,84859,81,1264,9645,8407,6711,64098	UTRN,DIXDC1,FLNA,LRCH1,SYNE1,IQGAP3,ACTN1,VAV1,FLNB,NAV3,TAGLN,PLEC,MAPRE2,PLS3,MAPRE1,IQGAP1,LCP1,DST,IQGAP2,SPTBN5,EHBP1L1,GAS2L1,ARHGEF7,LRCH4,MACF1,MICAL1,CLMN,SMTNL1,ARHGEF6,LIMCH1,PARVB,SPECC1L,SPECC1,LRCH3,ACTN4,CNN1,MICAL2,TAGLN2,SPTBN1,PARVG
PF00620	RhoGAP	1.41921020075054e-05	-11.1628249447463	65	39	0.00659340659340659	5915	17458	23380,64333,93663,23616,393,83478,10928,1124,5295,201176,116985,5296,57522,55843,3633,84986,51291,64411,9754,58504,9411,9938,57569,94134,55789,392,90627,10144,116984,57514,29127,257106,29,4983,4650,23092,23526,117289,55114	SRGAP2,ARHGAP9,ARHGAP18,SH3BP1,ARHGAP4,ARHGAP24,RALBP1,CHN2,PIK3R1,ARHGAP27,ARAP1,PIK3R2,SRGAP1,ARHGAP15,INPP5B,ARHGAP19,GMIP,ARAP3,STARD8,ARHGAP22,ARHGAP29,ARHGAP25,ARHGAP20,ARHGAP12,DEPDC1B,ARHGAP1,STARD13,FAM13A,ARAP2,ARHGAP31,RACGAP1,ARHGAP30,ABR,OPHN1,MYO9B,ARHGAP26,ARHGAP45,TAGAP,ARHGAP17
PF00433	Pkinase_C	5.74691322222503e-05	-9.76426258522366	30	21	0.00355029585798817	5915	17458	6196,23678,208,207,6195,6197,11329,6446,8986,5588,5582,5583,5581,9252,5585,5579,23012,10000,5590,26524,5580	RPS6KA2,SGK3,AKT2,AKT1,RPS6KA1,RPS6KA3,STK38,SGK1,RPS6KA4,PRKCQ,PRKCG,PRKCH,PRKCE,RPS6KA5,PKN1,PRKCB,STK38L,AKT3,PRKCZ,LATS2,PRKCD
PF00787	PX	0.000148428578402042	-8.81540666893837	48	29	0.00490278951817413	5915	17458	23161,4689,81609,29916,9784,58533,6642,92017,8724,57231,9644,55614,64089,54899,90203,5286,112574,23678,26750,5337,285590,653361,29887,11188,6643,29886,401548,51429,124460	SNX13,NCF4,SNX27,SNX11,SNX17,SNX6,SNX1,SNX29,SNX3,SNX14,SH3PXD2A,KIF16B,SNX16,PXK,SNX21,PIK3C2A,SNX18,SGK3,RPS6KC1,PLD1,SH3PXD2B,NCF1,SNX10,NISCH,SNX2,SNX8,SNX30,SNX9,SNX20
PF12763	EF-hand_4	0.000407485998294221	-7.80550398588786	10	9	0.00152155536770921	5915	17458	30846,9185,30844,6453,2060,85021,30845,58513,50618	EHD2,REPS2,EHD4,ITSN1,EPS15,REPS1,EHD3,EPS15L1,ITSN2
PF00619	CARD	0.000505398440442078	-7.59016344880426	27	18	0.00304311073541843	5915	17458	440068,59082,64127,22861,100506742,114769,10392,64170,842,838,835,317,22900,8915,330,834,8767,84674	CARD17,CARD18,NOD2,NLRP1,CASP12,CARD16,NOD1,CARD9,CASP9,CASP5,CASP2,APAF1,CARD8,BCL10,BIRC3,CASP1,RIPK2,CARD6
