TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00452	SH3DOMAIN	3.0867265608699e-07	-14.9909844869871	84	48	0.0336134453781513	1428	4675	6453,273,274,54806,153769,7409,8874,246329,30011,3927,57630,5336,10451,2534,79729,2268,6455,26578,11252,3059,8027,50618,8470,2885,9459,4643,1398,4067,4689,143098,4296,3275,4542,4688,10254,7410,10006,7006,640,9873,3055,695,8440,6714,4690,5335,9051,1399	ITSN1,AMPH,BIN1,AHI1,SH3RF2,VAV1,ARHGEF7,STAC3,SH3KBP1,LASP1,SH3RF1,PLCG2,VAV3,FYN,SH3D21,FGR,SH3GL1,OSTF1,PACSIN2,HCLS1,STAM,ITSN2,SORBS2,GRB2,ARHGEF6,MYO1E,CRK,LYN,NCF4,MPP7,MAP3K11,PRMT2,MYO1F,NCF2,STAM2,VAV2,ABI1,TEC,BLK,FCHSD2,HCK,BTK,NCK2,SRC,NCK1,PLCG1,PSTPIP1,CRKL
PR00401	SH2DOMAIN	4.0353895047369e-07	-14.722992822362	73	43	0.0301120448179272	1428	4675	10019,7006,7410,25,2241,1154,84941,5295,1445,1399,387694,8503,5335,8440,4690,6714,3635,90525,695,3055,6850,6461,640,6503,5777,7535,5336,7409,7294,117157,5296,1398,4067,2885,6464,27071,10603,2242,84174,2268,27,10451,2534	SH2B3,TEC,VAV2,ABL1,FER,CISH,HSH2D,PIK3R1,CSK,CRKL,SH2D4B,PIK3R3,PLCG1,NCK2,NCK1,SRC,INPP5D,SHF,BTK,HCK,SYK,SHB,BLK,SLA,PTPN6,ZAP70,PLCG2,VAV1,TXK,SH2D1B,PIK3R2,CRK,LYN,GRB2,SHC1,DAPP1,SH2B2,FES,SLA2,FGR,ABL2,VAV3,FYN
PR00503	BROMODOMAIN	0.000323700091444424	-8.03569311453467	33	20	0.0140056022408964	1428	4675	27443,6597,6595,23774,9031,23476,23613,6046,54454,29028,51592,2033,27154,11176,7862,55193,8850,29117,1387,29994	CECR2,SMARCA4,SMARCA2,BRD1,BAZ1B,BRD4,ZMYND8,BRD2,ATAD2B,ATAD2,TRIM33,EP300,BRPF3,BAZ2A,BRPF1,PBRM1,KAT2B,BRD7,CREBBP,BAZ2B
PR00454	ETSDOMAIN	0.000888505030679486	-7.02597024839405	28	17	0.0119047619047619	1428	4675	51513,2115,2313,2551,440695,2114,2000,26298,2117,2120,2113,1997,2005,2119,2004,1998,6688	ETV7,ETV1,FLI1,GABPA,ETV3L,ETS2,ELF4,EHF,ETV3,ETV6,ETS1,ELF1,ELK4,ETV5,ELK3,ELF2,SPI1
PR00597	GELSOLIN	0.00144129758310512	-6.54221147176199	8	7	0.00490196078431373	1428	4675	2934,50853,7429,85477,822,2314,6840	GSN,VILL,VIL1,SCIN,CAPG,FLII,SVIL
PR00219	SYNAPTOBREVN	0.00144129758310512	-6.54221147176199	8	7	0.00490196078431373	1428	4675	6844,10791,8674,6843,9554,6845,9341	VAMP2,VAMP5,VAMP4,VAMP1,SEC22B,VAMP7,VAMP3
PR00318	GPROTEINA	0.00181406965098125	-6.31218253167502	16	11	0.007703081232493	1428	4675	2778,9630,2779,2774,2771,2768,2773,2780,2776,10672,2769	GNAS,GNA14,GNAT1,GNAL,GNAI2,GNA12,GNAI3,GNAT2,GNAQ,GNA13,GNA15
PR00008	DAGPEDOMAIN	0.00285543563695493	-5.85853086013968	21	13	0.00910364145658263	1428	4675	23683,369,5579,115727,5588,5894,25865,5582,5581,5580,5583,1124,5590	PRKD3,ARAF,PRKCB,RASGRP4,PRKCQ,RAF1,PRKD2,PRKCG,PRKCE,PRKCD,PRKCH,CHN2,PRKCZ
PR00267	INTFRNREGFCT	0.00476790600917071	-5.3458480622551	9	7	0.00490196078431373	1428	4675	3662,3659,10379,3665,3394,3660,3663	IRF4,IRF1,IRF9,IRF7,IRF8,IRF2,IRF5
PR01823	JANUSKINASE	0.00867995816539441	-4.74673856997651	4	4	0.00280112044817927	1428	4675	3716,7297,3717,3718	JAK1,TYK2,JAK2,JAK3
PR01849	UBIQUITINACT	0.00867995816539441	-4.74673856997651	4	4	0.00280112044817927	1428	4675	7317,10055,7318,55236	UBA1,SAE1,UBA7,UBA6
PR00387	PDIESTERASE1	0.0120268370645791	-4.42061470421536	19	11	0.007703081232493	1428	4675	5145,27115,5142,5150,5141,5153,5136,5151,8622,5137,5144	PDE6A,PDE7B,PDE4B,PDE7A,PDE4A,PDE1B,PDE1A,PDE8A,PDE8B,PDE1C,PDE4D
PR00042	LEUZIPPRFOS	0.0123592170799502	-4.39335317200495	8	6	0.00420168067226891	1428	4675	2355,122953,467,10538,2353,55509	FOSL2,JDP2,ATF3,BATF,FOS,BATF3
PR00633	RCCNDNSATION	0.0143543332012289	-4.2437034171164	17	10	0.00700280112044818	1428	4675	26091,55920,1102,23077,8925,81554,91433,26297,8916,57679	HERC4,RCC2,RCBTB2,MYCBP2,HERC1,RCC1L,RCCD1,SERGEF,HERC3,ALS2
PR00390	PHPHLIPASEC	0.01708234435919	-4.06970984247685	15	9	0.00630252100840336	1428	4675	113026,23236,5333,5330,5334,23228,5336,89869,5335	PLCD3,PLCB1,PLCD1,PLCB2,PLCL1,PLCL2,PLCG2,PLCZ1,PLCG1
PR00705	PAPAIN	0.0237744066820171	-3.7391456264029	11	7	0.00490196078431373	1428	4675	1522,1508,1514,1520,1512,1075,1513	CTSZ,CTSB,CTSL,CTSS,CTSH,CTSC,CTSK
PR00888	SM22CALPONIN	0.0237744066820171	-3.7391456264029	11	7	0.00490196078431373	1428	4675	8407,6876,10451,7409,9459,22998,1264	TAGLN2,TAGLN,VAV3,VAV1,ARHGEF6,LIMCH1,CNN1
PR00405	REVINTRACTNG	0.0239433891940012	-3.73206301852987	28	14	0.00980392156862745	1428	4675	3267,60682,3268,23527,8853,26286,116985,116984,9815,11033,55803,64411,55616,64744	AGFG1,SMAP1,AGFG2,ACAP2,ASAP2,ARFGAP3,ARAP1,ARAP2,GIT2,ADAP1,ADAP2,ARAP3,ASAP3,SMAP2
