TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00220	S_TKc	1.78937310072058e-11	-24.7465706874854	349	182	0.0547203848466627	3326	9500	91,9344,5582,51231,5590,120892,1263,202374,10000,149420,983,55589,818,5567,9475,817,79834,207,1452,23604,5585,9262,57761,92335,8408,57551,1432,5603,204851,8986,415116,51701,5347,375449,9113,11035,6732,8737,5606,6196,1859,699,25865,79705,5588,54861,1025,1326,5604,5613,23043,55351,10114,4215,5594,5607,1612,11329,4296,26750,3551,23678,8767,728642,9252,5261,8899,23139,5894,6794,5579,140901,157285,7204,6733,2870,2011,102800317,7046,23387,5127,7048,53944,112858,23097,84254,23683,7465,51776,83903,50488,5292,1455,9263,2081,1021,658,27347,8621,7444,8317,5595,11183,9874,5583,9641,10783,23012,6787,6885,4216,4638,5062,8536,150094,6195,57396,157,5597,208,5581,11040,29110,10221,5580,4140,8569,6041,25778,91754,8844,5058,83983,146057,1453,5568,2580,1195,22848,283106,2931,9943,1198,81788,340156,156,92,51347,6093,9706,7443,9175,9448,90,369,9020,83931,140609,6793,6789,57118,5128,6446,2932,5218,10645,5608,28996,6790,122011,6197,7867,9748,5170,8428,55561,9833,11011,4214,65125,26524,57787	ACVR1B,TAOK2,PRKCG,VRK3,PRKCZ,LRRK2,PLK3,STK32A,AKT3,PDIK1L,CDK1,BMP2K,CAMK2G,PRKACB,ROCK2,CAMK2D,PEAK1,AKT1,CSNK1A1,DAPK2,PKN1,STK17B,TRIB3,STRADA,ULK1,TAOK1,MAPK14,MAPK13,HIPK1,RPS6KA4,PIM3,NLK,PLK1,MAST4,LATS1,RIPK3,SRPK1,RIPK1,MAP2K3,RPS6KA2,DYRK1A,BUB1,PRKD2,LRRK1,PRKCQ,SNRK,CDK9,MAP3K8,MAP2K1,PRKX,TNIK,STK32B,HIPK3,MAP3K3,MAPK1,MAP2K5,DAPK1,STK38,MAP3K11,RPS6KC1,IKBKB,SGK3,RIPK2,CDK11A,RPS6KA5,PHKG2,PRPF4B,MAST2,RAF1,STK11,PRKCB,STK35,PRAG1,TRIO,SRPK2,GRK6,MARK2,TPTEP2-CSNK1E,TGFBR1,SIK3,CDK16,TGFBR2,CSNK1G1,TP53RK,CDK19,CAMKK1,PRKD3,WEE1,MAP3K20,HASPIN,MINK1,PIM1,CSNK1G2,STK17A,ERN1,CDK6,BMPR1B,STK39,CDK13,VRK2,CDC7,MAPK3,MAP4K5,TLK1,PRKCH,IKBKE,NEK6,STK38L,NEK4,MAP3K7,MAP3K4,MYLK,PAK2,CAMK1,SIK1,RPS6KA1,CLK4,GRK3,MAPK6,AKT2,PRKCE,PIM2,TBK1,TRIB1,PRKCD,MARK3,MKNK1,RNASEL,DSTYK,NEK9,KSR1,PAK1,TSSK6,TTBK2,CSNK1D,PRKACG,GAK,CLK1,AAK1,CSNK2A3,GSK3A,OXSR1,CLK3,NUAK2,MYLK4,GRK2,ACVR2A,TAOK3,ROCK1,ULK2,VRK1,MAP3K13,MAP4K4,ACVR1,ARAF,MAP3K14,STK40,NEK7,STK10,STK4,CAMK1D,CDK17,SGK1,GSK3B,CDK14,CAMKK2,MAP2K6,HIPK2,AURKA,CSNK1A1L,RPS6KA3,MAPKAPK3,SLK,PDPK1,STK24,CDC42BPG,MELK,TLK2,MAP3K1,WNK1,LATS2,MARK4
SM00252	SH2	2.71807155259512e-08	-17.4207581031118	104	64	0.0192423331328924	3326	9500	5335,6464,10451,6850,4067,6503,1399,1154,6461,3937,7294,27,5336,7409,1445,2241,6714,6778,4690,7006,64759,6776,1398,7535,3055,6777,9610,7297,3716,3717,8412,79890,2242,9021,8651,90525,3718,387694,84941,3635,2268,10019,2534,8440,63898,10603,640,695,2885,117157,10044,7145,5296,25,27071,8503,29760,7410,5777,84174,5295,1124,6452,284948	PLCG1,SHC1,VAV3,SYK,LYN,SLA,CRKL,CISH,SHB,LCP2,TXK,ABL2,PLCG2,VAV1,CSK,FER,SRC,STAT6,NCK1,TEC,TNS3,STAT5A,CRK,ZAP70,HCK,STAT5B,RIN1,TYK2,JAK1,JAK2,BCAR3,RIN3,FES,SOCS3,SOCS1,SHF,JAK3,SH2D4B,HSH2D,INPP5D,FGR,SH2B3,FYN,NCK2,SH2D4A,SH2B2,BLK,BTK,GRB2,SH2D1B,SH2D3C,TNS1,PIK3R2,ABL1,DAPP1,PIK3R3,BLNK,VAV2,PTPN6,SLA2,PIK3R1,CHN2,SH3BP2,SH2D6
SM00233	PH	4.2150354456024e-06	-12.3768525571502	260	126	0.0378833433553818	3326	9500	4983,83706,59339,79674,81846,113026,50618,8527,201176,25865,121512,5341,51332,54518,9181,50650,80301,9046,6093,55619,23207,5922,156,199786,5924,10451,6655,5335,84904,23102,6453,9265,23101,23096,26030,50649,5337,55198,26084,8853,5336,7409,114885,153090,55561,6711,9938,79666,139818,7204,139716,23527,23550,7006,50619,9459,58504,7262,54477,10000,695,94134,9846,389072,23362,116984,114883,23683,89846,116985,9842,23092,64283,27071,23075,22821,57569,7410,55357,207,8660,55803,7074,29,9475,23370,400224,6452,6654,5333,26230,221178,83478,9922,114882,22822,26034,65059,11033,114879,219790,55041,79930,9267,90102,55843,9462,5334,27128,11214,221472,157,26031,208,6641,23095,10087,1796,55616,64333,8874,10019,10603,64411,57580,23228	OPHN1,FERMT3,PLEKHA2,VEPH1,SBF2,PLCD3,ITSN2,DGKD,ARHGAP27,PRKD2,FGD4,PLEK,SPTBN5,APBB1IP,ARHGEF2,ARHGEF3,PLEKHO2,DOK2,ROCK1,DOCK10,PLEKHM2,RASA2,GRK2,NIBAN3,RASGRF2,VAV3,SOS2,PLCG1,ARHGEF39,TBC1D2B,ITSN1,CYTH3,MCF2L2,IQSEC2,PLEKHG3,ARHGEF4,PLD1,APPL2,ARHGEF26,ASAP2,PLCG2,VAV1,OSBPL11,DAB2IP,CDC42BPG,SPTBN1,ARHGAP25,PLEKHF2,DOCK11,TRIO,GAB3,ACAP2,PSD4,TEC,DEF6,ARHGEF6,ARHGAP22,PHLDA2,PLEKHA5,AKT3,BTK,ARHGAP12,GAB2,PLEKHM3,PSD3,ARAP2,OSBPL9,PRKD3,FGD3,ARAP1,PLEKHM1,ARHGAP26,ARHGEF28,DAPP1,SWAP70,RASA3,ARHGAP20,VAV2,TBC1D2,AKT1,IRS2,ADAP2,TIAM1,ABR,ROCK2,ARHGEF18,PLEKHD1,SH3BP2,SOS1,PLCD1,TIAM2,SPATA13,ARHGAP24,IQSEC1,OSBPL8,PHLDA1,IPCEF1,RAPH1,ADAP1,OSBPL5,RTKN2,PLEKHB2,DOK3,CYTH1,PHLDB2,ARHGAP15,RASAL2,PLCL1,CYTH4,AKAP13,FGD2,GRK3,OSBPL3,AKT2,SNTB1,KIF1B,CERT1,DOK1,ASAP3,ARHGAP9,ARHGEF7,SH2B3,SH2B2,ARAP3,PREX1,PLCL2
SM00326	SH3	4.76926866729024e-06	-12.253317584045	203	102	0.0306674684305472	3326	9500	1795,50618,23048,3055,9231,8027,57522,3927,10006,1398,80022,7159,393,4296,3275,653361,23380,10458,26084,7294,8853,79729,10254,50649,6503,1399,6453,56904,246329,26578,4067,54869,23268,5335,4739,10451,4354,285590,9459,7006,783,4688,51100,3059,4690,7204,6714,9732,1445,273,5336,7409,27,9051,23092,30011,5296,143098,11252,27352,2533,1739,9853,54806,80005,2885,9873,64092,695,640,94134,9644,1742,1794,54440,274,79574,10188,5295,84959,7410,84174,8470,25,23328,4643,57630,2059,4689,221178,57091,8440,8522,153769,6455,2534,51429,8874,112574,2268,4542,54436	DOCK3,ITSN2,FNBP1,HCK,DLG5,STAM,SRGAP1,LASP1,ABI1,CRK,MYO15B,TP53BP2,ARHGAP4,MAP3K11,PRMT2,NCF1,SRGAP2,BAIAP2,ARHGEF26,TXK,ASAP2,SH3D21,STAM2,ARHGEF4,SLA,CRKL,ITSN1,SH3GLB2,STAC3,OSTF1,LYN,EPS8L1,DNMBP,PLCG1,NEDD9,VAV3,MPP1,SH3PXD2B,ARHGEF6,TEC,CACNB2,NCF2,SH3GLB1,HCLS1,NCK1,TRIO,SRC,DOCK4,CSK,AMPH,PLCG2,VAV1,ABL2,PSTPIP1,ARHGAP26,SH3KBP1,PIK3R2,MPP7,PACSIN2,SGSM3,FYB1,DLG1,RUSC2,AHI1,DOCK5,GRB2,FCHSD2,SAMSN1,BTK,BLK,ARHGAP12,SH3PXD2A,DLG4,DOCK2,SASH3,BIN1,EPS8L3,TNK2,PIK3R1,UBASH3B,VAV2,SLA2,SORBS2,ABL1,SASH1,MYO1E,SH3RF1,EPS8,NCF4,SPATA13,CASS4,NCK2,GAS7,SH3RF2,SH3GL1,FYN,SNX9,ARHGEF7,SNX18,FGR,MYO1F,SH3TC1
SM00033	CH	1.84935534826301e-05	-10.8980883470048	66	40	0.0120264582080577	3326	9500	10451,8407,22998,9645,2317,128239,2316,85458,667,219537,7409,8826,89795,23499,6711,1264,8874,81,92521,29780,79789,254102,87,84859,9459,64098,5339,23384,5358,4034,23345,7402,64780,51332,6876,7410,10634,3936,10788,23143	VAV3,TAGLN2,LIMCH1,MICAL2,FLNB,IQGAP3,FLNA,DIXDC1,DST,SMTNL1,VAV1,IQGAP1,NAV3,MACF1,SPTBN1,CNN1,ARHGEF7,ACTN4,SPECC1,PARVB,CLMN,EHBP1L1,ACTN1,LRCH3,ARHGEF6,PARVG,PLEC,SPECC1L,PLS3,LRCH4,SYNE1,UTRN,MICAL1,SPTBN5,TAGLN,VAV2,GAS2L1,LCP1,IQGAP2,LRCH1
SM00312	PX	2.81182529685813e-05	-10.4790916206694	42	28	0.00841852074564041	3326	9500	285590,401548,51429,26750,57231,54899,653361,55614,124460,112574,81609,11188,29887,6643,64089,23161,92017,23678,6642,5337,29886,5286,29916,4689,90203,9784,8724,9644	SH3PXD2B,SNX30,SNX9,RPS6KC1,SNX14,PXK,NCF1,KIF16B,SNX20,SNX18,SNX27,NISCH,SNX10,SNX2,SNX16,SNX13,SNX29,SGK3,SNX1,PLD1,SNX8,PIK3C2A,SNX11,NCF4,SNX21,SNX17,SNX3,SH3PXD2A
SM00324	RhoGAP	5.67676499530541e-05	-9.77654393756847	64	38	0.0114251352976548	3326	9500	392,55843,93663,83478,84986,64333,55114,64411,29127,3633,9938,5296,51291,201176,116985,23092,10928,4983,58504,94134,257106,9754,57522,116984,1124,393,23616,29,5295,9411,57514,23526,10144,117289,57569,90627,4650,23380	ARHGAP1,ARHGAP15,ARHGAP18,ARHGAP24,ARHGAP19,ARHGAP9,ARHGAP17,ARAP3,RACGAP1,INPP5B,ARHGAP25,PIK3R2,GMIP,ARHGAP27,ARAP1,ARHGAP26,RALBP1,OPHN1,ARHGAP22,ARHGAP12,ARHGAP30,STARD8,SRGAP1,ARAP2,CHN2,ARHGAP4,SH3BP1,ABR,PIK3R1,ARHGAP29,ARHGAP31,ARHGAP45,FAM13A,TAGAP,ARHGAP20,STARD13,MYO9B,SRGAP2
SM00133	S_TK_X	0.000156822332340548	-8.76039703454829	49	30	0.0090198436560433	3326	9500	207,208,55561,157,5581,5585,23678,5580,26524,156,6197,6195,5567,9475,6093,11329,2870,5613,23012,6446,5568,5590,10000,5579,5583,6196,9252,5582,5588,8986	AKT1,AKT2,CDC42BPG,GRK3,PRKCE,PKN1,SGK3,PRKCD,LATS2,GRK2,RPS6KA3,RPS6KA1,PRKACB,ROCK2,ROCK1,STK38,GRK6,PRKX,STK38L,SGK1,PRKACG,PRKCZ,AKT3,PRKCB,PRKCH,RPS6KA2,RPS6KA5,PRKCG,PRKCQ,RPS6KA4
SM00027	EH	0.000205854086802599	-8.48834295664158	11	10	0.00300661455201443	3326	9500	2060,9185,50618,30845,30846,11276,6453,58513,30844,85021	EPS15,REPS2,ITSN2,EHD3,EHD2,SYNRG,ITSN1,EPS15L1,EHD4,REPS1
SM00109	C1	0.000260127274880825	-8.25433952795157	63	36	0.010823812387252	3326	9500	5590,23683,8527,51291,5588,8844,25865,5582,9842,64283,4650,83593,7410,369,9181,1124,6093,9475,9411,8525,115727,23526,5579,118987,10451,5894,246329,5583,7409,11214,5580,11186,5581,55561,1608,29127	PRKCZ,PRKD3,DGKD,GMIP,PRKCQ,KSR1,PRKD2,PRKCG,PLEKHM1,ARHGEF28,MYO9B,RASSF5,VAV2,ARAF,ARHGEF2,CHN2,ROCK1,ROCK2,ARHGAP29,DGKZ,RASGRP4,ARHGAP45,PRKCB,PDZD8,VAV3,RAF1,STAC3,PRKCH,VAV1,AKAP13,PRKCD,RASSF1,PRKCE,CDC42BPG,DGKG,RACGAP1
