TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP69	T-Cell antigen Receptor (TCR)  Signaling Pathway	1.64846053886902e-09	-20.2234239913017	93	65	0.0308349146110057	2108	5366	2533,9308,920,4690,5580,9051,4988,3552,7040,3551,1326,5966,10451,207,9846,5595,940,6654,3601,1385,2885,9020,6464,5170,5594,4772,919,7535,102466985,3662,27040,5604,5588,4792,2534,6885,1399,7189,2185,867,7409,5970,916,3553,5296,3604,7454,998,8915,1234,1432,3708,1398,29851,5058,5335,3937,10019,868,8767,5894,2353,5295,8517,3569	FYB1,CD83,CD4,NCK1,PRKCD,PSTPIP1,OPRM1,IL1A,TGFB1,IKBKB,MAP3K8,REL,VAV3,AKT1,GAB2,MAPK3,CD28,SOS1,IL15RA,CREB1,GRB2,MAP3K14,SHC1,PDPK1,MAPK1,NFATC1,CD247,ZAP70,MIR6837,IRF4,LAT,MAP2K1,PRKCQ,NFKBIA,FYN,MAP3K7,CRKL,TRAF6,PTK2B,CBL,VAV1,RELA,CD3E,IL1B,PIK3R2,TNFRSF9,WAS,CDC42,BCL10,CCR5,MAPK14,ITPR1,CRK,ICOS,PAK1,PLCG1,LCP2,SH2B3,CBLB,RIPK2,RAF1,FOS,PIK3R1,IKBKG,IL6
WP1449	Regulation of toll-like receptor signaling pathway	2.21223661866491e-09	-19.9292617885439	145	92	0.0436432637571157	2108	5366	208,4064,7189,8727,4791,54476,6351,54472,5603,7128,10454,942,1154,5604,102465249,5879,4792,6885,57161,941,55593,23643,114609,7187,10906,148022,4615,5608,1540,353376,5594,3656,5777,5606,51311,207,5595,695,1326,6352,257397,929,5347,5294,3551,7874,3663,7099,3455,10333,8503,2353,8878,29110,5295,8517,3569,57162,6348,958,23533,54210,8737,23118,54106,841,4153,1432,3592,5293,3665,6441,5291,10000,64223,5296,3454,11213,7097,54461,6850,7096,8651,3576,3553,9641,8772,7100,10616,6772,5970,406891	AKT2,CD180,TRAF6,CTNNAL1,NFKB2,RNF216,CCL4,TOLLIP,MAPK13,TNFAIP3,TAB1,CD86,CISH,MAP2K1,MIR6502,RAC1,NFKBIA,MAP3K7,PELI2,CD80,OTUD5,LY96,TIRAP,TRAF3,TRAFD1,TICAM1,MYD88,MAP2K6,CYLD,TICAM2,MAPK1,IRAK2,PTPN6,MAP2K3,TLR8,AKT1,MAPK3,BTK,MAP3K8,CCL5,TAB3,CD14,PLK1,PIK3CG,IKBKB,USP7,IRF5,TLR4,IFNAR2,TLR6,PIK3R3,FOS,SQSTM1,TBK1,PIK3R1,IKBKG,IL6,PELI1,CCL3,CD40,PIK3R5,TREM1,RIPK1,TAB2,TLR9,CASP8,MBL2,MAPK14,IL12A,PIK3CD,IRF7,SFTPD,PIK3CB,AKT3,MLST8,PIK3R2,IFNAR1,IRAK3,TLR2,FBXW5,SYK,TLR1,SOCS1,CXCL8,IL1B,IKBKE,FADD,TLR5,RBCK1,STAT1,RELA,MIRLET7I
WP23	B Cell Receptor Signaling Pathway	2.24015547541035e-09	-19.9167205648228	99	68	0.032258064516129	2108	5366	6464,5170,5608,5594,2885,1385,6654,3662,4775,118788,640,26469,3635,2534,2308,2889,6885,29760,4149,4792,4067,5879,7006,5604,933,1399,4690,5580,27071,5294,3551,4209,5966,695,6452,2931,207,9846,5788,5777,1432,5880,7410,1398,100847070,7462,5579,5335,8517,5295,2932,5894,5970,867,7409,4609,6850,2969,6195,604,5296,4208,2113,8915,5336,1871,3059,998	SHC1,PDPK1,MAP2K6,MAPK1,GRB2,CREB1,SOS1,IRF4,NFATC3,PIK3AP1,BLK,PTPN18,INPP5D,FYN,FOXO1,RAPGEF1,MAP3K7,BLNK,MAX,NFKBIA,LYN,RAC1,TEC,MAP2K1,CD22,CRKL,NCK1,PRKCD,DAPP1,PIK3CG,IKBKB,MEF2D,REL,BTK,SH3BP2,GSK3A,AKT1,GAB2,PTPRC,PTPN6,MAPK14,RAC2,VAV2,CRK,MIR5196,LAT2,PRKCB,PLCG1,IKBKG,PIK3R1,GSK3B,RAF1,RELA,CBL,VAV1,MYC,SYK,GTF2I,RPS6KA1,BCL6,PIK3R2,MEF2C,ETS1,BCL10,PLCG2,E2F3,HCLS1,CDC42
WP2037	Prolactin Signaling Pathway	4.02918974833218e-09	-19.3297005362065	76	55	0.0260910815939279	2108	5366	5296,3716,5595,9846,207,8660,6774,5777,140885,5829,5970,7534,6772,867,7409,5770,6777,4609,1509,5294,6196,8651,5618,2534,4792,5879,7006,5604,1154,5058,3688,6194,2353,4843,3659,5295,2932,5894,7532,6464,3717,5594,5291,5617,1432,2885,6714,6654,5478,6776,9021,7410,7535,2316,5479	PIK3R2,JAK1,MAPK3,GAB2,AKT1,IRS2,STAT3,PTPN6,SIRPA,PXN,RELA,YWHAZ,STAT1,CBL,VAV1,PTPN1,STAT5B,MYC,CTSD,PIK3CG,RPS6KA2,SOCS1,PRLR,FYN,NFKBIA,RAC1,TEC,MAP2K1,CISH,PAK1,ITGB1,RPS6,FOS,NOS2,IRF1,PIK3R1,GSK3B,RAF1,YWHAG,SHC1,JAK2,MAPK1,PIK3CB,PRL,MAPK14,GRB2,SRC,SOS1,PPIA,STAT5A,SOCS3,VAV2,ZAP70,FLNA,PPIB
WP286	IL-3 Signaling Pathway	4.86795645154192e-08	-16.8380065147295	49	38	0.0180265654648956	2108	5366	1439,6776,3635,6714,2885,5594,5293,6464,3717,6654,5894,1399,5295,2353,4067,3563,2889,2534,596,942,5604,6777,3055,7040,6850,3576,10971,1232,7529,7409,867,5595,5777,6774,9846,207,3716,5296	CSF2RB,STAT5A,INPP5D,SRC,GRB2,MAPK1,PIK3CD,SHC1,JAK2,SOS1,RAF1,CRKL,PIK3R1,FOS,LYN,IL3RA,RAPGEF1,FYN,BCL2,CD86,MAP2K1,STAT5B,HCK,TGFB1,SYK,CXCL8,YWHAQ,CCR3,YWHAB,VAV1,CBL,MAPK3,PTPN6,STAT3,GAB2,AKT1,JAK1,PIK3R2
WP437	EGF/EGFR Signaling Pathway	1.42216264242131e-07	-15.765916950294	164	97	0.0460151802656546	2108	5366	5879,2059,2308,6197,6667,1173,5604,8867,253260,1399,5337,8826,9610,5906,2885,4215,5594,5170,3717,6464,6654,1385,6812,6790,3635,6655,8027,4209,10006,9185,3716,9046,10188,58513,6093,5899,4214,10451,1445,207,9846,2005,4216,9922,5580,1072,4690,10254,6196,5579,1175,5782,5058,8202,5335,3985,5900,5894,5607,868,5295,2353,466,2697,160,6714,1432,8440,9146,4734,382,29924,7410,10928,9252,6776,25,1398,5359,6195,54206,2060,5728,9712,4208,5296,5590,6774,998,4205,7409,867,2185,6772,30011,6777,9101	RAC1,EPS8,FOXO1,RPS6KA3,SP1,AP2M1,MAP2K1,SYNJ1,RICTOR,CRKL,PLD1,IQGAP1,RIN1,RAP1A,GRB2,MAP3K3,MAPK1,PDPK1,JAK2,SHC1,SOS1,CREB1,STXBP1,AURKA,INPP5D,SOS2,STAM,MEF2D,ABI1,REPS2,JAK1,DOK2,TNK2,EPS15L1,ROCK1,RALB,MAP3K1,VAV3,CSK,AKT1,GAB2,ELK4,MAP3K4,IQSEC1,PRKCD,CFL1,NCK1,STAM2,RPS6KA2,PRKCB,AP2S1,PTPN12,PAK1,NCOA3,PLCG1,LIMK2,RALGDS,RAF1,MAP2K5,CBLB,PIK3R1,FOS,ATF1,GJA1,AP2A1,SRC,MAPK14,NCK2,HGS,NEDD4,ARF6,EPN1,VAV2,RALBP1,RPS6KA5,STAT5A,ABL1,CRK,PLSCR1,RPS6KA1,ERRFI1,EPS15,PTEN,USP6NL,MEF2C,PIK3R2,PRKCZ,STAT3,CDC42,MEF2A,VAV1,CBL,PTK2B,STAT1,SH3KBP1,STAT5B,USP8
WP304	Kit receptor signaling pathway	3.25906904345533e-07	-14.9366540658547	60	43	0.0203984819734345	2108	5366	6195,4254,2309,6615,5296,5595,695,6774,5777,207,9846,10603,867,7409,6772,1796,6777,8651,4067,5579,2534,6197,5335,596,7006,5604,6194,5894,1399,2033,2353,5295,6714,1432,2885,3717,6464,5594,6654,4286,6776,3635,1398	RPS6KA1,KITLG,FOXO3,SNAI1,PIK3R2,MAPK3,BTK,STAT3,PTPN6,AKT1,GAB2,SH2B2,CBL,VAV1,STAT1,DOK1,STAT5B,SOCS1,LYN,PRKCB,FYN,RPS6KA3,PLCG1,BCL2,TEC,MAP2K1,RPS6,RAF1,CRKL,EP300,FOS,PIK3R1,SRC,MAPK14,GRB2,JAK2,SHC1,MAPK1,SOS1,MITF,STAT5A,INPP5D,CRK
WP481	Insulin Signaling	5.13946981701673e-07	-14.4811457252517	161	94	0.0445920303605313	2108	5366	2992,11183,6812,9882,8986,5594,50488,5608,5170,6464,9020,5597,4215,2885,8773,30846,3631,9175,6654,5603,5867,5583,6813,208,2308,6885,6197,2889,5879,375,5211,5604,5588,6814,3643,5294,3551,10487,6196,8503,57761,4216,10603,5580,5770,5289,5595,2931,23433,8660,207,5606,4214,6655,5286,6844,1326,9265,2309,9448,9021,9252,1398,2319,5291,5293,23678,1432,5880,382,100500810,7494,5295,2353,5894,5607,868,2932,6446,5579,6009,6513,6722,6810,8651,3799,867,5590,4296,1977,6195,5296,5728,10211	GYG1,MAP4K5,STXBP1,TBC1D4,RPS6KA4,MAPK1,MINK1,MAP2K6,PDPK1,SHC1,MAP3K14,MAPK6,MAP3K3,GRB2,SNAP23,EHD2,INPP4A,MAP3K13,SOS1,MAPK13,RAB4A,PRKCH,STXBP2,AKT2,FOXO1,MAP3K7,RPS6KA3,RAPGEF1,RAC1,ARF1,PFKL,MAP2K1,PRKCQ,STXBP3,INSR,PIK3CG,IKBKB,CAP1,RPS6KA2,PIK3R3,TRIB3,MAP3K4,SH2B2,PRKCD,PTPN1,PIK3C3,MAPK3,GSK3A,RHOQ,IRS2,AKT1,MAP2K3,MAP3K1,SOS2,PIK3C2A,VAMP2,MAP3K8,CYTH3,FOXO3,MAP4K4,SOCS3,RPS6KA5,CRK,FLOT2,PIK3CB,PIK3CD,SGK3,MAPK14,RAC2,ARF6,MIR3620,XBP1,PIK3R1,FOS,RAF1,MAP2K5,CBLB,GSK3B,SGK1,PRKCB,RHEB,SLC2A1,SRF,STX4,SOCS1,KIF5B,CBL,PRKCZ,MAP3K11,EIF4E,RPS6KA1,PIK3R2,PTEN,FLOT1
WP49	IL-2 Signaling Pathway	1.16809807218274e-06	-13.6601337111733	42	32	0.015180265654649	2108	5366	6772,867,3559,2185,6850,4609,3561,6777,2309,3716,9846,207,6774,5595,9111,6654,5594,6464,2885,9021,6776,1154,5604,894,596,2534,5295,2353,1399,5894,3718,6194	STAT1,CBL,IL2RA,PTK2B,SYK,MYC,IL2RG,STAT5B,FOXO3,JAK1,GAB2,AKT1,STAT3,MAPK3,NMI,SOS1,MAPK1,SHC1,GRB2,SOCS3,STAT5A,CISH,MAP2K1,CCND2,BCL2,FYN,PIK3R1,FOS,CRKL,RAF1,JAK3,RPS6
WP395	IL-4 Signaling Pathway	1.80209777998808e-06	-13.2265591383257	55	39	0.0185009487666034	2108	5366	6654,1432,2885,3717,5293,6464,2242,5594,3635,2316,6778,6776,9021,4792,3269,3718,7297,2353,2033,5295,867,4783,6772,5970,3566,8651,3551,3561,6777,9046,3716,5296,6774,1050,5777,9846,8660,207,5595	SOS1,MAPK14,GRB2,JAK2,PIK3CD,SHC1,FES,MAPK1,INPP5D,FLNA,STAT6,STAT5A,SOCS3,NFKBIA,HRH1,JAK3,TYK2,FOS,EP300,PIK3R1,CBL,NFIL3,STAT1,RELA,IL4R,SOCS1,IKBKB,IL2RG,STAT5B,DOK2,JAK1,PIK3R2,STAT3,CEBPA,PTPN6,GAB2,IRS2,AKT1,MAPK3
