Chromosome	Monoc1_2_state3.bed_Start	Monoc1_2_state3.bed_End	Monoc1_2_state3.bed_Name	dnase_Monoc.bed_Start	dnase_Monoc.bed_End	dnase_Monoc.bed_Name
chr9	256200	258200	E3	257872	258328	chr9.12
chr9	272200	272400	E3	272214	272400	chr9.13
chr9	297200	297400	E3	297108	297353	chr9.15
chr9	2025600	2025600	E3	2025546	2025664	chr9.63
chr9	5569200	5570200	E3	5569507	5569641	chr9.116
chr9	5850800	5851600	E3	5851514	5851763	chr9.122
chr9	6889400	6890000	E3	6889852	6890177	chr9.142
chr9	7976200	7977200	E3	7976480	7976710	chr9.146
chr9	19153800	19155400	E3	19154184	19154586	chr9.219
chr9	19161000	19162000	E3	19161706	19161990	chr9.220
chr9	19183600	19185000	E3	19184270	19184603	chr9.222
chr9	20989200	20990000	E3	20989963	20990223	chr9.245
chr9	20991000	20991200	E3	20990852	20991234	chr9.246
chr9	21119200	21119400	E3	21119136	21119361	chr9.251
chr9	21831400	21834400	E3	21833631	21833812	chr9.268
chr9	21831400	21834400	E3	21832122	21832366	chr9.267
chr9	22030000	22030600	E3	22030223	22030402	chr9.278
chr9	27335400	27335600	E3	27335059	27335519	chr9.300
chr9	27352200	27354000	E3	27352436	27352772	chr9.303
chr9	27599200	27599400	E3	27599145	27599404	chr9.309
chr9	27634800	27635200	E3	27634980	27635221	chr9.311
chr9	33051200	33051800	E3	33051269	33051425	chr9.346
chr9	33129600	33131000	E3	33130644	33130776	chr9.353
chr9	33129600	33131000	E3	33129960	33130079	chr9.352
chr9	33227200	33228400	E3	33226976	33227238	chr9.364
chr9	33289000	33289200	E3	33288297	33291183	chr9.370
chr9	35095000	35095400	E3	35095395	35095592	chr9.560
chr9	35553200	35553800	E3	35553647	35554312	chr9.579
chr9	36152400	36154400	E3	36154309	36154958	chr9.654
chr9	36152400	36154400	E3	36153918	36154025	chr9.653
chr9	36154600	36154800	E3	36154309	36154958	chr9.654
chr9	37992800	37993800	E3	37993199	37993274	chr9.803
chr9	37998800	37999200	E3	37998784	37999280	chr9.805
chr9	38008000	38009400	E3	38008063	38008821	chr9.806
chr9	38046600	38046800	E3	38046628	38046988	chr9.811
chr9	47178200	47178800	E3	47177973	47178559	chr9.1009
chr9	69882600	69883800	E3	69883029	69883203	chr9.1108
chr9	71567200	71568200	E3	71567119	71567477	chr9.1145
chr9	71593000	71596000	E3	71593056	71593267	chr9.1147
chr9	71785800	71786200	E3	71786033	71786246	chr9.1161
chr9	71795200	71796400	E3	71795661	71795916	chr9.1164
chr9	73140000	73141000	E3	73140535	73140821	chr9.1199
chr9	73191800	73192800	E3	73192199	73192504	chr9.1202
chr9	75027400	75027800	E3	75027555	75027728	chr9.1229
chr9	75035600	75036200	E3	75035742	75035985	chr9.1230
chr9	75039200	75040400	E3	75039067	75039420	chr9.1231
chr9	75057200	75059200	E3	75058897	75059157	chr9.1234
chr9	75057200	75059200	E3	75058307	75058522	chr9.1233
chr9	75834400	75835600	E3	75835295	75835443	chr9.1244
chr9	75834400	75835600	E3	75834936	75834975	chr9.1243
chr9	78990000	78990200	E3	78990169	78990268	chr9.1272
chr9	79200200	79200800	E3	79200480	79200699	chr9.1285
chr9	79210400	79211800	E3	79210456	79210938	chr9.1286
chr9	79303000	79304000	E3	79302999	79303148	chr9.1291
chr9	80462800	80464000	E3	80463944	80464125	chr9.1315
chr9	80479600	80481000	E3	80479591	80479810	chr9.1316
chr9	80591800	80592400	E3	80592282	80592534	chr9.1318
chr9	82316600	82316800	E3	82316611	82316967	chr9.1344
chr9	82483000	82484800	E3	82483582	82484097	chr9.1348
