TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00108	PROTEIN_KINASE_ST	1.6862692465661e-10	-22.5033323876386	308	160	0.0381952733349248	4189	12125	6093,51347,23683,55589,699,140901,57118,8986,83931,5894,25778,1453,2931,2932,50488,1198,23097,7204,92,728642,5292,5608,5604,10000,9263,9475,11040,5613,1859,6446,9252,55561,53944,9748,23678,120892,55351,25865,369,5127,6794,207,6733,1612,375449,5594,818,6196,2580,9448,983,202374,7443,11011,23139,8737,8899,5062,57787,9344,140609,23012,1195,91,157,5582,5607,5597,658,7046,4216,57551,26524,8317,5595,5568,9020,84254,51776,10114,83983,9262,1025,8536,208,8767,8408,5128,57396,5218,23604,9874,150094,5170,5058,149420,51701,9175,6885,1455,5583,10645,8621,4296,1263,54861,204851,7867,6732,9113,81788,4140,91754,5347,5581,23043,8569,1021,1452,6197,7444,156,90,122011,5590,817,7048,9833,3551,9706,6195,8844,6790,65125,5585,340156,2011,283106,4638,6787,5261,7465,1326,28996,5580,11329,2870,5606,11035,4214,23387,6793,22848,5567,10783,5579,5588,415116,2081,102800317	ROCK1,TAOK3,PRKD3,BMP2K,BUB1,STK35,CAMK1D,RPS6KA4,STK40,RAF1,DSTYK,CSNK1D,GSK3A,GSK3B,MINK1,CLK3,CDK19,TRIO,ACVR2A,CDK11A,PIM1,MAP2K6,MAP2K1,AKT3,STK17A,ROCK2,PIM2,PRKX,DYRK1A,SGK1,RPS6KA5,CDC42BPG,CSNK1G1,SLK,SGK3,LRRK2,STK32B,PRKD2,ARAF,CDK16,STK11,AKT1,SRPK2,DAPK1,MAST4,MAPK1,CAMK2G,RPS6KA2,GAK,MAP4K4,CDK1,STK32A,VRK1,TLK2,MAST2,RIPK1,PRPF4B,PAK2,MARK4,TAOK2,NEK7,STK38L,CLK1,ACVR1B,GRK3,PRKCG,MAP2K5,MAPK6,BMPR1B,TGFBR1,MAP3K4,TAOK1,LATS2,CDC7,MAPK3,PRKACG,MAP3K14,CAMKK1,MAP3K20,HIPK3,TSSK6,STK17B,CDK9,CAMK1,AKT2,RIPK2,ULK1,CDK17,CLK4,CDK14,DAPK2,TLK1,SIK1,PDPK1,PAK1,PDIK1L,NLK,MAP3K13,MAP3K7,CSNK1G2,PRKCH,CAMKK2,CDK13,MAP3K11,PLK3,SNRK,HIPK1,MAPKAPK3,SRPK1,LATS1,NUAK2,MARK3,NEK9,PLK1,PRKCE,TNIK,MKNK1,CDK6,CSNK1A1,RPS6KA3,VRK2,GRK2,ACVR1,CSNK1A1L,PRKCZ,CAMK2D,TGFBR2,MELK,IKBKB,ULK2,RPS6KA1,KSR1,AURKA,WNK1,PKN1,MYLK4,MARK2,CSNK2A3,MYLK,NEK4,PHKG2,WEE1,MAP3K8,HIPK2,PRKCD,STK38,GRK6,MAP2K3,RIPK3,MAP3K1,SIK3,STK10,AAK1,PRKACB,NEK6,PRKCB,PRKCQ,PIM3,ERN1,TPTEP2-CSNK1E
PS50011	PROTEIN_KINASE_DOM	5.15009715441136e-10	-21.3868353505085	480	230	0.0549057054189544	4189	12125	11213,7443,11011,202374,983,3656,8737,8899,11183,23139,2242,157285,9943,818,6733,1612,5594,375449,9448,6196,2185,2580,3055,2049,8428,7046,658,85481,3985,3643,8317,5595,2534,4216,57551,26524,92335,9344,5062,57787,5607,5597,23012,140609,640,91,1195,5582,157,56924,2932,2931,50488,7204,1198,23097,5292,92,10188,728642,6850,699,2241,55589,25,140901,6093,51347,23683,25778,1453,57118,8986,5894,83931,55351,120892,9748,112858,23678,5127,27347,6794,10221,2321,207,5979,25865,369,5613,11040,1859,7294,5608,5604,10000,9475,9263,238,53944,6446,9252,55561,7273,5585,340156,28951,2011,3717,4638,83903,6041,6787,5261,4593,283106,817,2986,1432,79834,90,3000,5590,122011,26750,6195,8844,6790,65125,7048,54899,3551,6789,9833,9706,5567,10783,5579,57761,23387,4214,6793,22848,102800317,2081,1436,146057,2047,5588,415116,11329,197259,4067,7297,6714,29110,91461,1326,7465,5580,28996,2041,3716,11035,5606,4215,2870,29959,9874,5058,5170,150094,149420,51701,8408,5128,7006,57396,5218,23604,1455,6885,5583,695,9175,54986,9020,51231,84254,51776,558,27,5568,84197,8767,5159,10114,9262,83983,1025,8536,208,5347,2268,5581,7535,8569,23043,81788,91754,4140,9641,5603,1452,1021,6197,7444,156,1445,8621,4296,1263,10645,79705,204851,6732,7867,9113,54861,3718	IRAK3,VRK1,TLK2,STK32A,CDK1,IRAK2,RIPK1,PRPF4B,MAP4K5,MAST2,FES,PRAG1,OXSR1,CAMK2G,SRPK2,DAPK1,MAPK1,MAST4,MAP4K4,RPS6KA2,PTK2B,GAK,HCK,EPHB3,STK24,TGFBR1,BMPR1B,PSKH2,LIMK2,INSR,CDC7,MAPK3,FYN,MAP3K4,TAOK1,LATS2,STRADA,TAOK2,PAK2,MARK4,MAP2K5,MAPK6,STK38L,NEK7,BLK,ACVR1B,CLK1,PRKCG,GRK3,PAK6,GSK3B,GSK3A,MINK1,TRIO,CLK3,CDK19,PIM1,ACVR2A,TNK2,CDK11A,SYK,BUB1,FER,BMP2K,ABL1,STK35,ROCK1,TAOK3,PRKD3,DSTYK,CSNK1D,CAMK1D,RPS6KA4,RAF1,STK40,STK32B,LRRK2,SLK,TP53RK,SGK3,CDK16,STK39,STK11,TRIB1,FLT1,AKT1,RET,PRKD2,ARAF,PRKX,PIM2,DYRK1A,TXK,MAP2K6,MAP2K1,AKT3,ROCK2,STK17A,ALK,CSNK1G1,SGK1,RPS6KA5,CDC42BPG,TTN,PKN1,MYLK4,TRIB2,MARK2,JAK2,MYLK,HASPIN,RNASEL,NEK4,PHKG2,MUSK,CSNK2A3,CAMK2D,GUCY2F,MAPK14,PEAK1,ACVR1,GUCY2D,PRKCZ,CSNK1A1L,RPS6KC1,RPS6KA1,KSR1,AURKA,WNK1,TGFBR2,PXK,IKBKB,STK4,MELK,ULK2,PRKACB,NEK6,PRKCB,TRIB3,SIK3,MAP3K1,STK10,AAK1,TPTEP2-CSNK1E,ERN1,CSF1R,TTBK2,EPHB1,PRKCQ,PIM3,STK38,MLKL,LYN,TYK2,SRC,TBK1,PKDCC,MAP3K8,WEE1,PRKCD,HIPK2,EPHA1,JAK1,RIPK3,MAP2K3,MAP3K3,GRK6,NRBP1,TLK1,PAK1,PDPK1,SIK1,PDIK1L,NLK,ULK1,CDK17,TEC,CLK4,CDK14,DAPK2,CSNK1G2,MAP3K7,PRKCH,BTK,MAP3K13,ULK4,MAP3K14,VRK3,CAMKK1,MAP3K20,AXL,ABL2,PRKACG,POMK,RIPK2,PDGFRB,HIPK3,STK17B,TSSK6,CDK9,CAMK1,AKT2,PLK1,FGR,PRKCE,ZAP70,MKNK1,TNIK,NUAK2,NEK9,MARK3,IKBKE,MAPK13,CSNK1A1,CDK6,RPS6KA3,VRK2,GRK2,CSK,CDK13,MAP3K11,PLK3,CAMKK2,LRRK1,HIPK1,SRPK1,MAPKAPK3,LATS1,SNRK,JAK3
PS00107	PROTEIN_KINASE_ATP	3.47718897860747e-09	-19.4770416343457	378	185	0.0441632847935068	4189	12125	9475,9263,5608,10000,5604,7294,5613,11040,1859,9252,55561,6446,238,53944,9748,120892,23678,55351,369,5979,25865,207,5127,27347,6794,2321,6093,23683,51347,25,140901,6850,699,2241,5894,57118,8986,1453,25778,2931,56924,2932,23097,1198,5292,10188,50488,57787,5062,9344,157,5582,23012,140609,640,91,1195,5607,5597,3643,658,3985,85481,7046,8428,26524,2534,4216,57551,5595,8317,5594,6733,1612,2242,9943,818,3055,2049,2185,6196,9448,202374,983,11011,7443,11183,10645,4296,1263,1445,8621,3718,54861,7867,6732,204851,4140,9641,81788,5581,2268,7535,8569,23043,5347,156,1021,1452,6197,5603,5568,84254,558,27,9020,83983,9262,1025,208,8536,5159,10114,7006,57396,23604,5218,8408,5128,51701,9874,150094,5058,5170,149420,695,1455,6885,5583,7465,5580,28996,29110,7297,6714,11329,4067,2870,5606,11035,2041,3716,23387,4214,6793,5579,10783,5567,415116,2047,5588,1436,146057,102800317,90,122011,5590,817,1432,9706,7048,6789,9833,6790,6195,3717,2011,5585,340156,4593,283106,5261,6787,83903,4638	ROCK2,STK17A,MAP2K6,AKT3,MAP2K1,TXK,PRKX,PIM2,DYRK1A,RPS6KA5,CDC42BPG,SGK1,ALK,CSNK1G1,SLK,LRRK2,SGK3,STK32B,ARAF,RET,PRKD2,AKT1,CDK16,STK39,STK11,FLT1,ROCK1,PRKD3,TAOK3,ABL1,STK35,SYK,BUB1,FER,RAF1,CAMK1D,RPS6KA4,CSNK1D,DSTYK,GSK3A,PAK6,GSK3B,CDK19,CLK3,PIM1,TNK2,MINK1,MARK4,PAK2,TAOK2,GRK3,PRKCG,STK38L,NEK7,BLK,ACVR1B,CLK1,MAP2K5,MAPK6,INSR,BMPR1B,LIMK2,PSKH2,TGFBR1,STK24,LATS2,FYN,MAP3K4,TAOK1,MAPK3,CDC7,MAPK1,SRPK2,DAPK1,FES,OXSR1,CAMK2G,HCK,EPHB3,PTK2B,RPS6KA2,MAP4K4,STK32A,CDK1,TLK2,VRK1,MAP4K5,CAMKK2,MAP3K11,PLK3,CSK,CDK13,JAK3,SNRK,MAPKAPK3,SRPK1,HIPK1,MARK3,IKBKE,NUAK2,PRKCE,FGR,ZAP70,MKNK1,TNIK,PLK1,GRK2,CDK6,CSNK1A1,RPS6KA3,MAPK13,PRKACG,CAMKK1,AXL,ABL2,MAP3K14,TSSK6,STK17B,CDK9,AKT2,CAMK1,PDGFRB,HIPK3,TEC,CLK4,DAPK2,CDK14,ULK1,CDK17,NLK,TLK1,SIK1,PAK1,PDPK1,PDIK1L,BTK,CSNK1G2,MAP3K7,PRKCH,WEE1,PRKCD,HIPK2,TBK1,TYK2,SRC,STK38,LYN,GRK6,MAP2K3,RIPK3,EPHA1,JAK1,SIK3,MAP3K1,STK10,PRKCB,NEK6,PRKACB,PIM3,EPHB1,PRKCQ,CSF1R,TTBK2,TPTEP2-CSNK1E,ACVR1,CSNK1A1L,PRKCZ,CAMK2D,MAPK14,ULK2,TGFBR2,STK4,MELK,AURKA,RPS6KA1,JAK2,MARK2,PKN1,MYLK4,MUSK,CSNK2A3,PHKG2,NEK4,HASPIN,MYLK
PS50001	SH2	4.21633695241993e-08	-16.9817140136062	108	65	0.0155168297923132	4189	12125	64759,10603,25,27,6850,8651,2241,1154,5296,7409,5295,7006,79890,8503,90525,6772,1398,8440,63898,695,5336,10019,10044,7294,6503,1445,7410,9021,4690,6774,117157,5777,6452,84174,6776,1124,2268,7535,8412,5335,387694,10451,6777,1399,2242,6461,284948,3055,2885,3937,27071,3717,6778,7145,3635,29760,9610,6714,54453,4067,640,3716,84941,2534,6464	TNS3,SH2B2,ABL1,ABL2,SYK,SOCS1,FER,CISH,PIK3R2,VAV1,PIK3R1,TEC,RIN3,PIK3R3,SHF,STAT1,CRK,NCK2,SH2D4A,BTK,PLCG2,SH2B3,SH2D3C,TXK,SLA,CSK,VAV2,SOCS3,NCK1,STAT3,SH2D1B,PTPN6,SH3BP2,SLA2,STAT5A,CHN2,FGR,ZAP70,BCAR3,PLCG1,SH2D4B,VAV3,STAT5B,CRKL,FES,SHB,SH2D6,HCK,GRB2,LCP2,DAPP1,JAK2,STAT6,TNS1,INPP5D,BLNK,RIN1,SRC,RIN2,LYN,BLK,JAK1,HSH2D,FYN,SHC1
PS50002	SH3	4.34749452525083e-07	-14.6484959429996	223	113	0.0269754117927906	4189	12125	1794,50649,10006,26084,57091,201176,2885,3055,273,8027,26578,1399,23328,10451,30011,80005,274,8522,8853,3059,153769,79574,2534,246329,10458,4739,8874,64429,375056,9231,51429,10254,785,640,4643,23380,9051,4689,7159,23048,6714,4067,2059,64333,80022,6453,9853,1398,10188,84106,79729,7204,695,8440,54436,5336,7006,4688,346389,4542,5339,54869,84959,8470,1739,51100,1742,3275,5295,7409,57522,5296,2533,667,393,9644,221178,57630,9732,9414,27,25,4354,6455,23268,11252,143098,27352,5335,9459,54806,3927,783,23499,9873,84174,56904,64092,285590,2268,653361,94134,7410,50618,4690,112574,54440,7294,6503,4296,1795,23092,1445	DOCK2,ARHGEF4,ABI1,ARHGEF26,CASS4,ARHGAP27,GRB2,HCK,AMPH,STAM,OSTF1,CRKL,SASH1,VAV3,SH3KBP1,DOCK5,BIN1,GAS7,ASAP2,HCLS1,SH3RF2,EPS8L3,FYN,STAC3,BAIAP2,NEDD9,ARHGEF7,ZDHHC6,MIA3,DLG5,SNX9,STAM2,CACNB4,BLK,MYO1E,SRGAP2,PSTPIP1,NCF4,TP53BP2,FNBP1,SRC,LYN,EPS8,ARHGAP9,MYO15B,ITSN1,RUSC2,CRK,TNK2,PRAM1,SH3D21,TRIO,BTK,NCK2,SH3TC1,PLCG2,TEC,NCF2,MACC1,MYO1F,PLEC,EPS8L1,UBASH3B,SORBS2,DLG1,SH3GLB1,DLG4,PRMT2,PIK3R1,VAV1,SRGAP1,PIK3R2,FYB1,DST,ARHGAP4,SH3PXD2A,SPATA13,SH3RF1,DOCK4,TJP2,ABL2,ABL1,MPP1,SH3GL1,DNMBP,PACSIN2,MPP7,SGSM3,PLCG1,ARHGEF6,AHI1,LASP1,CACNB2,MACF1,FCHSD2,SLA2,SH3GLB2,SAMSN1,SH3PXD2B,FGR,NCF1,ARHGAP12,VAV2,ITSN2,NCK1,SNX18,SASH3,TXK,SLA,MAP3K11,DOCK3,ARHGAP26,CSK
PS50021	CH	4.5047389093647e-06	-12.3103806243294	81	48	0.0114585820004774	4189	12125	55704,92521,10451,87,4034,128239,84859,6876,64780,84376,23345,7409,667,219537,3936,23143,79789,85458,2316,51332,10788,89795,64098,10982,5339,157922,8407,23384,2317,7402,79925,286464,7410,10634,8874,81,6711,29780,254102,5358,1264,22998,440193,8826,9459,9645,23499,22919	CCDC88A,SPECC1,VAV3,ACTN1,LRCH4,IQGAP3,LRCH3,TAGLN,MICAL1,HOOK3,SYNE1,VAV1,DST,SMTNL1,LCP1,LRCH1,CLMN,DIXDC1,FLNA,SPTBN5,IQGAP2,NAV3,PARVG,MAPRE2,PLEC,CAMSAP1,TAGLN2,SPECC1L,FLNB,UTRN,SPEF2,CFAP47,VAV2,GAS2L1,ARHGEF7,ACTN4,SPTBN1,PARVB,EHBP1L1,PLS3,CNN1,LIMCH1,CCDC88C,IQGAP1,ARHGEF6,MICAL2,MACF1,MAPRE1
PS50003	PH_DOMAIN	2.02850514065277e-05	-10.8056263270952	245	116	0.0276915731678205	4189	12125	8874,6711,23075,389072,22821,80301,84904,55198,23550,55843,64411,9842,7074,55357,26034,139716,6654,157,79674,9181,11033,23228,55616,221472,81846,201176,83478,89846,116984,23362,64855,50649,114885,9846,26084,153090,10451,9267,8853,139818,57580,116985,114879,59339,5333,65059,26031,121512,27071,64283,9265,400224,26230,27128,94134,156,5335,55041,9459,25865,207,8660,23527,9475,10000,23370,23207,8527,9046,23092,9938,7410,55561,50618,6641,50650,83706,90102,114883,6452,51332,7006,79666,50619,55803,26030,10087,23239,23102,64333,54477,5334,6453,29,219790,4983,7204,695,114882,5336,54518,23095,23683,11214,6093,221178,58504,10603,55619,5922,23101,208,6655,5924,7409,5341	ARHGEF7,SPTBN1,SWAP70,PLEKHM3,RASA3,PLEKHO2,ARHGEF39,APPL2,PSD4,ARHGAP15,ARAP3,PLEKHM1,TIAM1,TBC1D2,IPCEF1,GAB3,SOS1,GRK3,VEPH1,ARHGEF2,ADAP1,PLCL2,ASAP3,FGD2,SBF2,ARHGAP27,ARHGAP24,FGD3,ARAP2,PSD3,NIBAN2,ARHGEF4,OSBPL11,GAB2,ARHGEF26,DAB2IP,VAV3,CYTH1,ASAP2,DOCK11,PREX1,ARAP1,OSBPL5,PLEKHA2,PLCD1,RAPH1,OSBPL3,FGD4,DAPP1,ARHGEF28,CYTH3,PLEKHD1,TIAM2,CYTH4,ARHGAP12,GRK2,PLCG1,PLEKHB2,ARHGEF6,PRKD2,AKT1,IRS2,ACAP2,ROCK2,AKT3,ARHGEF18,PLEKHM2,DGKD,DOK2,ARHGAP26,ARHGAP25,VAV2,CDC42BPG,ITSN2,SNTB1,ARHGEF3,FERMT3,PHLDB2,OSBPL9,SH3BP2,SPTBN5,TEC,PLEKHF2,DEF6,ADAP2,PLEKHG3,CERT1,PHLPP1,TBC1D2B,ARHGAP9,PLEKHA5,PLCL1,ITSN1,ABR,RTKN2,OPHN1,TRIO,BTK,OSBPL8,PLCG2,APBB1IP,KIF1B,PRKD3,AKAP13,ROCK1,SPATA13,ARHGAP22,SH2B2,DOCK10,RASA2,MCF2L2,AKT2,SOS2,RASGRF2,VAV1,PLEK
PS50238	RHOGAP	2.33433674096637e-05	-10.6651976651775	65	39	0.00931009787538792	4189	12125	64411,55114,55843,93663,23092,9938,23616,51291,3633,57514,23380,9411,1124,4650,392,94134,57569,55789,10928,117289,257106,58504,84986,393,10144,116985,5295,23526,57522,5296,9754,201176,116984,83478,29127,29,64333,90627,4983	ARAP3,ARHGAP17,ARHGAP15,ARHGAP18,ARHGAP26,ARHGAP25,SH3BP1,GMIP,INPP5B,ARHGAP31,SRGAP2,ARHGAP29,CHN2,MYO9B,ARHGAP1,ARHGAP12,ARHGAP20,DEPDC1B,RALBP1,TAGAP,ARHGAP30,ARHGAP22,ARHGAP19,ARHGAP4,FAM13A,ARAP1,PIK3R1,ARHGAP45,SRGAP1,PIK3R2,STARD8,ARHGAP27,ARAP2,ARHGAP24,RACGAP1,ABR,ARHGAP9,STARD13,OPHN1
PS50195	PX	7.29070253427441e-05	-9.52632555400795	46	29	0.00692289329195512	4189	12125	81609,401548,29887,57231,8724,285590,6643,29886,51429,653361,23678,23161,64089,5337,5286,9784,54899,58533,112574,6642,92017,11188,9644,26750,55614,124460,29916,90203,4689	SNX27,SNX30,SNX10,SNX14,SNX3,SH3PXD2B,SNX2,SNX8,SNX9,NCF1,SGK3,SNX13,SNX16,PLD1,PIK3C2A,SNX17,PXK,SNX6,SNX18,SNX1,SNX29,NISCH,SH3PXD2A,RPS6KC1,KIF16B,SNX20,SNX11,SNX21,NCF4
PS51285	AGC_KINASE_CTER	9.80053596641667e-05	-9.23048839033849	55	33	0.00787777512532824	4189	12125	5583,23139,5585,6195,8986,6196,208,5590,5568,375449,6093,207,5588,6197,156,26524,5567,5579,5581,23678,9113,23012,6446,157,2870,9252,5582,55561,11329,5613,10000,5580,9475	PRKCH,MAST2,PKN1,RPS6KA1,RPS6KA4,RPS6KA2,AKT2,PRKCZ,PRKACG,MAST4,ROCK1,AKT1,PRKCQ,RPS6KA3,GRK2,LATS2,PRKACB,PRKCB,PRKCE,SGK3,LATS1,STK38L,SGK1,GRK3,GRK6,RPS6KA5,PRKCG,CDC42BPG,STK38,PRKX,AKT3,PRKCD,ROCK2
